"team","teamId","playedGames","goalDifference","points","rank"
"Sporting Clube de Portugal",498,34,43,85,1
"FC Porto",503,34,45,80,2
"Sport Lisboa e Benfica",1903,34,42,76,3
"Sporting Clube de Braga",5613,34,20,64,4
"FC Paços de Ferreira",507,34,-1,53,5
"CD Santa Clara",5530,34,8,46,6
"Vitória SC",5543,34,-7,43,7
"Moreirense FC",583,34,-6,43,8
"FC Famalicão",5531,34,-8,40,9
"Os Belenenses Futebol",5568,34,-10,40,10
"Gil Vicente FC",5533,34,-9,39,11
"CD Tondela",1049,34,-21,36,12
"Boavista FC",810,34,-10,36,13
"Portimonense SC",5601,34,-7,35,14
"CS Marítimo",5575,34,-18,35,15
"Rio Ave FC",496,34,-15,34,16
"SC Farense",5602,34,-17,31,17
"CD Nacional",5529,34,-29,25,18
