"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date"
1,"FC Famalicão",5531,"Sport Lisboa e Benfica",1903,1,5,"A","2020-09-18"
1,"Vitória SC",5543,"Os Belenenses Futebol",5568,0,1,"A","2020-09-18"
1,"CD Nacional",5529,"Boavista FC",810,3,3,"D","2020-09-19"
1,"FC Porto",503,"Sporting Clube de Braga",5613,3,1,"H","2020-09-19"
1,"CD Santa Clara",5530,"CS Marítimo",5575,2,0,"H","2020-09-20"
1,"Moreirense FC",583,"SC Farense",5602,2,0,"H","2020-09-20"
1,"CD Tondela",1049,"Rio Ave FC",496,1,1,"D","2020-09-20"
1,"Portimonense SC",5601,"FC Paços de Ferreira",507,1,1,"D","2020-09-21"
2,"Sporting Clube de Braga",5613,"CD Santa Clara",5530,0,1,"A","2020-09-25"
2,"CS Marítimo",5575,"CD Tondela",1049,2,1,"H","2020-09-26"
2,"Sport Lisboa e Benfica",1903,"Moreirense FC",583,2,0,"H","2020-09-26"
2,"Boavista FC",810,"FC Porto",503,0,5,"A","2020-09-26"
2,"SC Farense",5602,"CD Nacional",5529,0,1,"A","2020-09-27"
2,"Gil Vicente FC",5533,"Portimonense SC",5601,1,0,"H","2020-09-27"
2,"FC Paços de Ferreira",507,"Sporting Clube de Portugal",498,0,2,"A","2020-09-27"
2,"Rio Ave FC",496,"Vitória SC",5543,0,0,"D","2020-09-27"
2,"Os Belenenses Futebol",5568,"FC Famalicão",5531,1,2,"A","2020-09-28"
3,"Moreirense FC",583,"Boavista FC",810,1,1,"D","2020-10-02"
3,"Vitória SC",5543,"FC Paços de Ferreira",507,1,0,"H","2020-10-02"
3,"CD Santa Clara",5530,"Gil Vicente FC",5533,0,0,"D","2020-10-03"
3,"FC Porto",503,"CS Marítimo",5575,2,3,"A","2020-10-03"
3,"CD Tondela",1049,"Sporting Clube de Braga",5613,0,4,"A","2020-10-03"
3,"CD Nacional",5529,"Os Belenenses Futebol",5568,0,0,"D","2020-10-04"
3,"Sport Lisboa e Benfica",1903,"SC Farense",5602,3,2,"H","2020-10-04"
3,"FC Famalicão",5531,"Rio Ave FC",496,1,1,"D","2020-10-04"
3,"Portimonense SC",5601,"Sporting Clube de Portugal",498,0,2,"A","2020-10-04"
4,"CS Marítimo",5575,"Portimonense SC",5601,1,2,"A","2020-10-17"
4,"Gil Vicente FC",5533,"CD Tondela",1049,1,1,"D","2020-10-17"
4,"Sporting Clube de Braga",5613,"CD Nacional",5529,2,1,"H","2020-10-17"
4,"Sporting Clube de Portugal",498,"FC Porto",503,2,2,"D","2020-10-17"
4,"FC Paços de Ferreira",507,"CD Santa Clara",5530,2,1,"H","2020-10-18"
4,"Os Belenenses Futebol",5568,"Moreirense FC",583,0,0,"D","2020-10-18"
4,"SC Farense",5602,"FC Famalicão",5531,3,3,"D","2020-10-18"
4,"Rio Ave FC",496,"Sport Lisboa e Benfica",1903,0,3,"A","2020-10-18"
4,"Boavista FC",810,"Vitória SC",5543,0,1,"A","2020-10-19"
5,"CD Tondela",1049,"Portimonense SC",5601,1,0,"H","2020-10-23"
5,"CD Nacional",5529,"FC Paços de Ferreira",507,1,1,"D","2020-10-24"
5,"CD Santa Clara",5530,"Sporting Clube de Portugal",498,1,2,"A","2020-10-24"
5,"FC Porto",503,"Gil Vicente FC",5533,1,0,"H","2020-10-24"
5,"Moreirense FC",583,"CS Marítimo",5575,2,1,"H","2020-10-25"
5,"SC Farense",5602,"Rio Ave FC",496,0,1,"A","2020-10-25"
5,"FC Famalicão",5531,"Boavista FC",810,2,2,"D","2020-10-25"
5,"Vitória SC",5543,"Sporting Clube de Braga",5613,0,1,"A","2020-10-25"
5,"Sport Lisboa e Benfica",1903,"Os Belenenses Futebol",5568,2,0,"H","2020-10-26"
1,"Sporting Clube de Portugal",498,"Gil Vicente FC",5533,3,1,"H","2020-10-28"
6,"FC Paços de Ferreira",507,"FC Porto",503,3,2,"H","2020-10-30"
6,"Os Belenenses Futebol",5568,"SC Farense",5602,1,1,"D","2020-10-31"
6,"Rio Ave FC",496,"Moreirense FC",583,2,0,"H","2020-10-31"
6,"CS Marítimo",5575,"CD Nacional",5529,0,0,"D","2020-10-31"
6,"Portimonense SC",5601,"CD Santa Clara",5530,1,2,"A","2020-11-01"
6,"Gil Vicente FC",5533,"Vitória SC",5543,1,2,"A","2020-11-01"
6,"Sporting Clube de Portugal",498,"CD Tondela",1049,4,0,"H","2020-11-01"
6,"Sporting Clube de Braga",5613,"FC Famalicão",5531,1,0,"H","2020-11-02"
6,"Boavista FC",810,"Sport Lisboa e Benfica",1903,3,0,"H","2020-11-02"
7,"Os Belenenses Futebol",5568,"Rio Ave FC",496,0,0,"D","2020-11-06"
7,"CD Tondela",1049,"CD Santa Clara",5530,2,0,"H","2020-11-07"
7,"FC Famalicão",5531,"CS Marítimo",5575,2,1,"H","2020-11-07"
7,"Vitória SC",5543,"Sporting Clube de Portugal",498,0,4,"A","2020-11-07"
7,"CD Nacional",5529,"Gil Vicente FC",5533,2,1,"H","2020-11-08"
7,"SC Farense",5602,"Boavista FC",810,3,1,"H","2020-11-08"
7,"FC Porto",503,"Portimonense SC",5601,3,1,"H","2020-11-08"
7,"Sport Lisboa e Benfica",1903,"Sporting Clube de Braga",5613,2,3,"A","2020-11-08"
8,"FC Paços de Ferreira",507,"FC Famalicão",5531,2,0,"H","2020-11-27"
8,"CD Tondela",1049,"Vitória SC",5543,0,2,"A","2020-11-27"
8,"CD Santa Clara",5530,"FC Porto",503,0,1,"A","2020-11-28"
8,"Sporting Clube de Portugal",498,"Moreirense FC",583,2,1,"H","2020-11-28"
8,"Gil Vicente FC",5533,"Rio Ave FC",496,2,0,"H","2020-11-29"
8,"Portimonense SC",5601,"CD Nacional",5529,1,0,"H","2020-11-29"
8,"Boavista FC",810,"Os Belenenses Futebol",5568,0,0,"D","2020-11-29"
8,"Sporting Clube de Braga",5613,"SC Farense",5602,1,0,"H","2020-11-29"
8,"CS Marítimo",5575,"Sport Lisboa e Benfica",1903,1,2,"A","2020-11-30"
7,"Moreirense FC",583,"FC Paços de Ferreira",507,0,1,"A","2020-12-01"
9,"Moreirense FC",583,"Gil Vicente FC",5533,1,1,"D","2020-12-05"
9,"Vitória SC",5543,"Portimonense SC",5601,1,0,"H","2020-12-05"
9,"FC Famalicão",5531,"Sporting Clube de Portugal",498,2,2,"D","2020-12-05"
9,"FC Porto",503,"CD Tondela",1049,4,3,"H","2020-12-05"
9,"CD Nacional",5529,"CD Santa Clara",5530,1,3,"A","2020-12-06"
9,"Rio Ave FC",496,"Boavista FC",810,0,0,"D","2020-12-06"
9,"Sport Lisboa e Benfica",1903,"FC Paços de Ferreira",507,2,1,"H","2020-12-06"
9,"Os Belenenses Futebol",5568,"Sporting Clube de Braga",5613,2,1,"H","2020-12-06"
9,"SC Farense",5602,"CS Marítimo",5575,2,1,"H","2020-12-07"
10,"Portimonense SC",5601,"FC Famalicão",5531,0,0,"D","2020-12-18"
10,"CS Marítimo",5575,"Os Belenenses Futebol",5568,1,0,"H","2020-12-19"
10,"CD Tondela",1049,"Moreirense FC",583,0,0,"D","2020-12-19"
10,"Sporting Clube de Portugal",498,"SC Farense",5602,1,0,"H","2020-12-19"
