,fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
1,666,FC Twente '65,Twente,Twe,NA,Twente,0
2,670,SBV Excelsior,Excelsior,Exc,NA,Excelsior,0
3,671,Heracles Almelo,Heracles,Her,NA,Heracles,0
4,673,SC Heerenveen,Heerenveen,Hee,NA,Heerenveen,0
5,674,PSV,PSV,PSV,NA,PSV,0
6,675,Feyenoord Rotterdam,Feyenoord,Fey,NA,Feyenoord,0
7,676,FC Utrecht,Utrecht,Utr,NA,Utrecht,0
8,677,FC Groningen,Groningen,Gro,NA,Groningen,0
9,678,AFC Ajax,Ajax,Ajx,NA,Ajax,0
10,681,NAC Breda,NAC,NAC,NA,NAC Breda,0
11,682,AZ,AZ,AZA,NA,AZ,0
12,684,PEC Zwolle,Zwolle,Zwo,NA,PEC Zwolle,0
13,718,Go Ahead Eagles,Go Ahead,GoA,NA,Go Ahead Eagles,0
14,1912,Telstar 1963,Telstar,Tel,NA,Telstar,0
15,1915,NEC,NEC,NEC,NA,NEC,0
16,1919,FC Volendam,Volendam,Vol,NA,Volendam,0
17,1920,Fortuna Sittard,Sittard,Sit,NA,Fortuna Sittard,0
18,6806,Sparta Rotterdam,Sparta,Spa,NA,Sparta Rotterdam,0
