"team","teamId","playedGames","goalDifference","points","rank"
"PSV",674,33,52,81,1
"Feyenoord Rotterdam",675,33,24,62,2
"FC Twente '65",666,33,23,58,3
"NEC",1915,33,23,56,4
"AFC Ajax",678,33,21,55,5
"AZ",682,33,7,51,6
"SC Heerenveen",673,32,6,50,7
"FC Utrecht",676,33,11,50,8
"FC Groningen",677,33,3,45,9
"Sparta Rotterdam",6806,33,-21,43,10
"Fortuna Sittard",1920,33,-12,39,11
"Go Ahead Eagles",718,33,2,38,12
"PEC Zwolle",684,33,-25,37,13
"SBV Excelsior",670,33,-14,35,14
"Telstar 1963",1912,33,-7,34,15
"FC Volendam",1919,33,-19,32,16
"NAC Breda",681,32,-25,25,17
"Heracles Almelo",671,33,-49,19,18
