fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
1,1. FC Köln,Köln,Kln,Cologne,Köln
2,TSG 1899 Hoffenheim,Hoffenheim,Hof,Hoffenheim,Hoffenheim
3,Bayer 04 Leverkusen,Bayer Leverkusen,Lev,Bayer Leverkusen,B Leverkusen
4,BV Borussia 09 Dortmund,Borussia Dortmund,Dor,Borussia Dortmund,B Dortmund
5,FC Bayern München,Bayern Munich,Mun,Bayern Munich,Bayern Munich
6,FC Schalke 04,Schalke,Sch,Schalke,Schalke
9,Hertha BSC,Hertha Berlin,Her,Hertha Berlin,Hertha Berlin
11,VfL Wolfsburg,Wolfsburg,Wol,Wolfsburg,Wolfsburg
12,SV Werder Bremen,Werder Bremen,Bre,Werder Bremen,Werder Bremen
15,1. FSV Mainz 05,Mainz,Mai,Mainz,Mainz
16,FC Augsburg,Augsburg,Aug,FC Augsburg,Augsburg
17,SC Freiburg,Freiburg,Fbg,SC Freiburg,Freiburg
18,Borussia Mönchengladbach,Borussia M'gladbach,BMg,M’gladbach,B Mgladbach
19,Eintracht Frankfurt,Eintracht Frankfurt,Fra,Eintracht Frankfurt,Frankfurt
24,TSV Fortuna 95 Düsseldorf,Düsseldorf,Dus,Fortuna Düsseldorf,Düsseldorf
28,1. FC Union Berlin,Union Berlin,UnB,1. FC Union Berlin,Union Berlin
29,SC Paderborn 07,Paderborn,Pad,SC Paderborn 07,Paderborn
721,RB Leipzig,RB Leipzig,Lei,RB Leipzig,RB Leipzig
