"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date"
1,"FC Bayern München",5,"Hertha BSC",9,2,2,"D","2019-08-16"
1,"BV Borussia 09 Dortmund",4,"FC Augsburg",16,5,1,"H","2019-08-17"
1,"SV Werder Bremen",12,"TSV Fortuna 95 Düsseldorf",24,1,3,"A","2019-08-17"
1,"Bayer 04 Leverkusen",3,"SC Paderborn 07",29,3,2,"H","2019-08-17"
1,"SC Freiburg",17,"1. FSV Mainz 05",15,3,0,"H","2019-08-17"
1,"VfL Wolfsburg",11,"1. FC Köln",1,2,1,"H","2019-08-17"
1,"Borussia Mönchengladbach",18,"FC Schalke 04",6,0,0,"D","2019-08-17"
1,"Eintracht Frankfurt",19,"TSG 1899 Hoffenheim",2,1,0,"H","2019-08-18"
1,"1. FC Union Berlin",28,"RB Leipzig",721,0,4,"A","2019-08-18"
2,"1. FC Köln",1,"BV Borussia 09 Dortmund",4,1,3,"A","2019-08-23"
2,"TSV Fortuna 95 Düsseldorf",24,"Bayer 04 Leverkusen",3,1,3,"A","2019-08-24"
2,"1. FSV Mainz 05",15,"Borussia Mönchengladbach",18,1,3,"A","2019-08-24"
2,"TSG 1899 Hoffenheim",2,"SV Werder Bremen",12,3,2,"H","2019-08-24"
2,"FC Augsburg",16,"1. FC Union Berlin",28,1,1,"D","2019-08-24"
2,"SC Paderborn 07",29,"SC Freiburg",17,1,3,"A","2019-08-24"
2,"FC Schalke 04",6,"FC Bayern München",5,0,3,"A","2019-08-24"
2,"RB Leipzig",721,"Eintracht Frankfurt",19,2,1,"H","2019-08-25"
2,"Hertha BSC",9,"VfL Wolfsburg",11,0,3,"A","2019-08-25"
3,"Borussia Mönchengladbach",18,"RB Leipzig",721,1,3,"A","2019-08-30"
3,"FC Schalke 04",6,"Hertha BSC",9,3,0,"H","2019-08-31"
3,"FC Bayern München",5,"1. FSV Mainz 05",15,6,1,"H","2019-08-31"
3,"Bayer 04 Leverkusen",3,"TSG 1899 Hoffenheim",2,0,0,"D","2019-08-31"
3,"SC Freiburg",17,"1. FC Köln",1,1,2,"A","2019-08-31"
3,"VfL Wolfsburg",11,"SC Paderborn 07",29,1,1,"D","2019-08-31"
3,"1. FC Union Berlin",28,"BV Borussia 09 Dortmund",4,3,1,"H","2019-08-31"
3,"SV Werder Bremen",12,"FC Augsburg",16,3,2,"H","2019-09-01"
3,"Eintracht Frankfurt",19,"TSV Fortuna 95 Düsseldorf",24,2,1,"H","2019-09-01"
4,"TSV Fortuna 95 Düsseldorf",24,"VfL Wolfsburg",11,1,1,"D","2019-09-13"
