"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Mun","Bayern Munich",34,68,82,1,1,34,2.41
"Dor","Borussia Dortmund",34,43,69,2,2,34,2.03
"Lei","RB Leipzig",34,44,66,3,3,34,1.94
"BMg","Borussia M'gladbach",34,26,65,4,4,34,1.91
"Lev","Bayer Leverkusen",34,17,63,5,5,34,1.85
"Hof","Hoffenheim",34,0,52,6,6,34,1.53
"Wol","Wolfsburg",34,2,49,7,7,34,1.44
"Fbg","Freiburg",34,1,48,8,8,34,1.41
"Fra","Eintracht Frankfurt",34,-1,45,9,9,34,1.32
"Her","Hertha Berlin",34,-11,41,10,10,34,1.21
"UnB","Union Berlin",34,-17,41,11,11,34,1.21
"Sch","Schalke",34,-20,39,12,12,34,1.15
"Mai","Mainz",34,-21,37,13,13,34,1.09
"Kln","Köln",34,-18,36,14,14,34,1.06
"Aug","Augsburg",34,-18,36,15,15,34,1.06
"Bre","Werder Bremen",34,-27,31,16,16,34.7,0.89
"Dus","Düsseldorf",34,-31,30,17,17,34,0.88
"Pad","Paderborn",34,-37,20,18,18,34,0.59
