"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name"
1,"1. FC Köln","1. FC Köln","KOE",NA,NA
2,"TSG 1899 Hoffenheim","Hoffenheim","TSG",NA,NA
3,"Bayer 04 Leverkusen","Leverkusen","B04",NA,NA
4,"BV Borussia 09 Dortmund","Dortmund","BVB",NA,NA
5,"FC Bayern München","Bayern M","FCB",NA,NA
6,"FC Schalke 04","Schalke","S04",NA,NA
9,"Hertha BSC","Hertha BSC","BSC",NA,NA
11,"VfL Wolfsburg","Wolfsburg","WOB",NA,NA
12,"SV Werder Bremen","Bremen","SVW",NA,NA
15,"1. FSV Mainz 05","Mainz","M05",NA,NA
16,"FC Augsburg","Augsburg","FCA",NA,NA
17,"SC Freiburg","Freiburg","SCF",NA,NA
18,"Borussia Mönchengladbach","M'gladbach","BMG",NA,NA
19,"Eintracht Frankfurt","Frankfurt","SGE",NA,NA
24,"TSV Fortuna 95 Düsseldorf","Düsseldorf","F95",NA,NA
28,"1. FC Union Berlin","Union Berlin","UNB",NA,NA
29,"SC Paderborn 07","SC Paderborn","SCP",NA,NA
721,"RB Leipzig","RB Leipzig","RBL",NA,NA
