matchday,homeTeamName,homeTeamId,awayTeamName,awayTeamId,FTHG,FTAG,FTR
5,AFC Bournemouth,1044,Brighton & Hove Albion,397,2,1,H
5,Crystal Palace FC,354,Southampton FC,340,0,1,A
5,Newcastle United FC,67,Stoke City FC,70,2,1,H
5,Liverpool FC,64,Burnley FC,328,1,1,D
5,Watford FC,346,Manchester City FC,65,0,6,A
5,Huddersfield Town,394,Leicester City FC,338,1,1,D
5,West Bromwich Albion FC,74,West Ham United FC,563,0,0,D
5,Tottenham Hotspur FC,73,Swansea City FC,72,0,0,D
5,Chelsea FC,61,Arsenal FC,57,0,0,D
5,Manchester United FC,66,Everton FC,62,4,0,H
6,West Ham United FC,563,Tottenham Hotspur FC,73,2,3,A
6,Burnley FC,328,Huddersfield Town,394,0,0,D
6,Everton FC,62,AFC Bournemouth,1044,2,1,H
6,Manchester City FC,65,Crystal Palace FC,354,5,0,H
6,Southampton FC,340,Manchester United FC,66,0,1,A
6,Stoke City FC,70,Chelsea FC,61,0,4,A
6,Swansea City FC,72,Watford FC,346,1,2,A
6,Leicester City FC,338,Liverpool FC,64,2,3,A
6,Brighton & Hove Albion,397,Newcastle United FC,67,1,0,H
6,Arsenal FC,57,West Bromwich Albion FC,74,2,0,H
7,Huddersfield Town,394,Tottenham Hotspur FC,73,0,4,A
7,Manchester United FC,66,Crystal Palace FC,354,4,0,H
7,Stoke City FC,70,Southampton FC,340,2,1,H
7,West Bromwich Albion FC,74,Watford FC,346,2,2,D
7,West Ham United FC,563,Swansea City FC,72,1,0,H
7,AFC Bournemouth,1044,Leicester City FC,338,0,0,D
7,Chelsea FC,61,Manchester City FC,65,0,1,A
7,Arsenal FC,57,Brighton & Hove Albion,397,2,0,H
7,Everton FC,62,Burnley FC,328,0,1,A
7,Newcastle United FC,67,Liverpool FC,64,1,1,D
8,Liverpool FC,64,Manchester United FC,66,0,0,D
8,Tottenham Hotspur FC,73,AFC Bournemouth,1044,1,0,H
8,Burnley FC,328,West Ham United FC,563,1,1,D
8,Crystal Palace FC,354,Chelsea FC,61,2,1,H
8,Manchester City FC,65,Stoke City FC,70,7,2,H
8,Swansea City FC,72,Huddersfield Town,394,2,0,H
8,Watford FC,346,Arsenal FC,57,2,1,H
8,Brighton & Hove Albion,397,Everton FC,62,1,1,D
8,Southampton FC,340,Newcastle United FC,67,2,2,D
8,Leicester City FC,338,West Bromwich Albion FC,74,1,1,D
9,West Ham United FC,563,Brighton & Hove Albion,397,0,3,A
9,Chelsea FC,61,Watford FC,346,4,2,H
9,Huddersfield Town,394,Manchester United FC,66,2,1,H
9,Manchester City FC,65,Burnley FC,328,3,0,H
9,Newcastle United FC,67,Crystal Palace FC,354,1,0,H
9,Stoke City FC,70,AFC Bournemouth,1044,1,2,A
9,Swansea City FC,72,Leicester City FC,338,1,2,A
9,Southampton FC,340,West Bromwich Albion FC,74,1,0,H
9,Everton FC,62,Arsenal FC,57,2,5,A
9,Tottenham Hotspur FC,73,Liverpool FC,64,4,1,H
10,Manchester United FC,66,Tottenham Hotspur FC,73,1,0,H
10,Crystal Palace FC,354,West Ham United FC,563,2,2,D
10,Arsenal FC,57,Swansea City FC,72,2,1,H
10,Liverpool FC,64,Huddersfield Town,394,3,0,H
10,Watford FC,346,Stoke City FC,70,0,1,A
10,West Bromwich Albion FC,74,Manchester City FC,65,2,3,A
10,AFC Bournemouth,1044,Chelsea FC,61,0,1,A
10,Brighton & Hove Albion,397,Southampton FC,340,1,1,D
10,Leicester City FC,338,Everton FC,62,2,0,H
10,Burnley FC,328,Newcastle United FC,67,1,0,H
11,Stoke City FC,70,Leicester City FC,338,2,2,D
11,Huddersfield Town,394,West Bromwich Albion FC,74,1,0,H
11,Newcastle United FC,67,AFC Bournemouth,1044,0,1,A
11,Southampton FC,340,Burnley FC,328,0,1,A
11,Swansea City FC,72,Brighton & Hove Albion,397,0,1,A
11,West Ham United FC,563,Liverpool FC,64,1,4,A
11,Tottenham Hotspur FC,73,Crystal Palace FC,354,1,0,H
11,Manchester City FC,65,Arsenal FC,57,3,1,H
11,Chelsea FC,61,Manchester United FC,66,1,0,H
11,Everton FC,62,Watford FC,346,3,2,H
12,Arsenal FC,57,Tottenham Hotspur FC,73,2,0,H
12,AFC Bournemouth,1044,Huddersfield Town,394,4,0,H
12,Burnley FC,328,Swansea City FC,72,2,0,H
12,Crystal Palace FC,354,Everton FC,62,2,2,D
12,Leicester City FC,338,Manchester City FC,65,0,2,A
12,Liverpool FC,64,Southampton FC,340,3,0,H
12,West Bromwich Albion FC,74,Chelsea FC,61,0,4,A
12,Manchester United FC,66,Newcastle United FC,67,4,1,H
12,Watford FC,346,West Ham United FC,563,2,0,H
12,Brighton & Hove Albion,397,Stoke City FC,70,2,2,D
13,West Ham United FC,563,Leicester City FC,338,1,1,D
13,Crystal Palace FC,354,Stoke City FC,70,2,1,H
13,Manchester United FC,66,Brighton & Hove Albion,397,1,0,H
13,Newcastle United FC,67,Watford FC,346,0,3,A
13,Swansea City FC,72,AFC Bournemouth,1044,0,0,D
13,Tottenham Hotspur FC,73,West Bromwich Albion FC,74,1,1,D
13,Liverpool FC,64,Chelsea FC,61,1,1,D
13,Southampton FC,340,Everton FC,62,4,1,H
13,Burnley FC,328,Arsenal FC,57,0,1,A
13,Huddersfield Town,394,Manchester City FC,65,1,2,A
14,Leicester City FC,338,Tottenham Hotspur FC,73,2,1,H
14,Brighton & Hove Albion,397,Crystal Palace FC,354,0,0,D
14,Watford FC,346,Manchester United FC,66,2,4,A
14,West Bromwich Albion FC,74,Newcastle United FC,67,2,2,D
14,Chelsea FC,61,Swansea City FC,72,1,0,H
14,AFC Bournemouth,1044,Burnley FC,328,1,2,A
14,Arsenal FC,57,Huddersfield Town,394,5,0,H
14,Everton FC,62,West Ham United FC,563,4,0,H
14,Stoke City FC,70,Liverpool FC,64,0,3,A
14,Manchester City FC,65,Southampton FC,340,2,1,H
15,Chelsea FC,61,Newcastle United FC,67,3,1,H
15,Watford FC,346,Tottenham Hotspur FC,73,1,1,D
15,Stoke City FC,70,Swansea City FC,72,2,1,H
15,Leicester City FC,338,Burnley FC,328,1,0,H
15,Everton FC,62,Huddersfield Town,394,2,0,H
15,West Bromwich Albion FC,74,Crystal Palace FC,354,0,0,D
15,Brighton & Hove Albion,397,Liverpool FC,64,1,5,A
15,Arsenal FC,57,Manchester United FC,66,1,3,A
15,AFC Bournemouth,1044,Southampton FC,340,1,1,D
15,Manchester City FC,65,West Ham United FC,563,2,1,H
16,West Ham United FC,563,Chelsea FC,61,1,0,H
16,Tottenham Hotspur FC,73,Stoke City FC,70,5,1,H
16,Swansea City FC,72,West Bromwich Albion FC,74,1,0,H
16,Crystal Palace FC,354,AFC Bournemouth,1044,2,2,D
16,Burnley FC,328,Watford FC,346,1,0,H
16,Huddersfield Town,394,Brighton & Hove Albion,397,2,0,H
16,Newcastle United FC,67,Leicester City FC,338,2,3,A
16,Southampton FC,340,Arsenal FC,57,1,1,D
16,Liverpool FC,64,Everton FC,62,1,1,D
16,Manchester United FC,66,Manchester City FC,65,1,2,A
17,Burnley FC,328,Stoke City FC,70,1,0,H
17,Huddersfield Town,394,Chelsea FC,61,1,3,A
17,Crystal Palace FC,354,Watford FC,346,2,1,H
17,Swansea City FC,72,Manchester City FC,65,0,4,A
17,Southampton FC,340,Leicester City FC,338,1,4,A
17,Newcastle United FC,67,Everton FC,62,0,1,A
17,Liverpool FC,64,West Bromwich Albion FC,74,0,0,D
17,Tottenham Hotspur FC,73,Brighton & Hove Albion,397,2,0,H
17,Manchester United FC,66,AFC Bournemouth,1044,1,0,H
17,West Ham United FC,563,Arsenal FC,57,0,0,D
18,Leicester City FC,338,Crystal Palace FC,354,0,3,A
18,Watford FC,346,Huddersfield Town,394,1,4,A
18,Arsenal FC,57,Newcastle United FC,67,1,0,H
18,Brighton & Hove Albion,397,Burnley FC,328,0,0,D
18,Chelsea FC,61,Southampton FC,340,1,0,H
18,Stoke City FC,70,West Ham United FC,563,0,3,A
18,Manchester City FC,65,Tottenham Hotspur FC,73,4,1,H
18,West Bromwich Albion FC,74,Manchester United FC,66,1,2,A
18,AFC Bournemouth,1044,Liverpool FC,64,0,4,A
18,Everton FC,62,Swansea City FC,72,3,1,H
19,Arsenal FC,57,Liverpool FC,64,3,3,D
19,Everton FC,62,Chelsea FC,61,0,0,D
19,West Ham United FC,563,Newcastle United FC,67,2,3,A
19,Swansea City FC,72,Crystal Palace FC,354,1,1,D
19,Stoke City FC,70,West Bromwich Albion FC,74,3,1,H
19,Southampton FC,340,Huddersfield Town,394,1,1,D
19,Manchester City FC,65,AFC Bournemouth,1044,4,0,H
19,Brighton & Hove Albion,397,Watford FC,346,1,0,H
19,Burnley FC,328,Tottenham Hotspur FC,73,0,3,A
19,Leicester City FC,338,Manchester United FC,66,2,2,D
20,Tottenham Hotspur FC,73,Southampton FC,340,5,2,H
20,Watford FC,346,Leicester City FC,338,2,1,H
20,Manchester United FC,66,Burnley FC,328,2,2,D
20,Huddersfield Town,394,Stoke City FC,70,1,1,D
20,Chelsea FC,61,Brighton & Hove Albion,397,2,0,H
20,AFC Bournemouth,1044,West Ham United FC,563,3,3,D
20,West Bromwich Albion FC,74,Everton FC,62,0,0,D
20,Liverpool FC,64,Swansea City FC,72,5,0,H
20,Newcastle United FC,67,Manchester City FC,65,0,1,A
20,Crystal Palace FC,354,Arsenal FC,57,2,3,A
21,AFC Bournemouth,1044,Everton FC,62,2,1,H
21,Huddersfield Town,394,Burnley FC,328,0,0,D
21,Liverpool FC,64,Leicester City FC,338,2,1,H
21,Newcastle United FC,67,Brighton & Hove Albion,397,0,0,D
21,Chelsea FC,61,Stoke City FC,70,5,0,H
21,Watford FC,346,Swansea City FC,72,1,2,A
21,Manchester United FC,66,Southampton FC,340,0,0,D
21,Crystal Palace FC,354,Manchester City FC,65,0,0,D
21,West Bromwich Albion FC,74,Arsenal FC,57,1,1,D
22,Brighton & Hove Albion,397,AFC Bournemouth,1044,2,2,D
22,Leicester City FC,338,Huddersfield Town,394,3,0,H
22,Burnley FC,328,Liverpool FC,64,1,2,A
22,Stoke City FC,70,Newcastle United FC,67,0,1,A
22,Everton FC,62,Manchester United FC,66,0,2,A
22,Southampton FC,340,Crystal Palace FC,354,1,2,A
22,Swansea City FC,72,Tottenham Hotspur FC,73,0,2,A
22,West Ham United FC,563,West Bromwich Albion FC,74,2,1,H
22,Manchester City FC,65,Watford FC,346,3,1,H
22,Arsenal FC,57,Chelsea FC,61,2,2,D
21,Tottenham Hotspur FC,73,West Ham United FC,563,1,1,D
23,Crystal Palace FC,354,Burnley FC,328,1,0,H
23,Huddersfield Town,394,West Ham United FC,563,1,4,A
23,Newcastle United FC,67,Swansea City FC,72,1,1,D
23,Chelsea FC,61,Leicester City FC,338,0,0,D
23,Watford FC,346,Southampton FC,340,2,2,D
23,West Bromwich Albion FC,74,Brighton & Hove Albion,397,2,0,H
23,Tottenham Hotspur FC,73,Everton FC,62,4,0,H
23,AFC Bournemouth,1044,Arsenal FC,57,2,1,H
23,Liverpool FC,64,Manchester City FC,65,4,3,H
23,Manchester United FC,66,Stoke City FC,70,3,0,H
24,Brighton & Hove Albion,397,Chelsea FC,61,0,4,A
24,Arsenal FC,57,Crystal Palace FC,354,4,1,H
24,Everton FC,62,West Bromwich Albion FC,74,1,1,D
24,Burnley FC,328,Manchester United FC,66,0,1,A
24,Leicester City FC,338,Watford FC,346,2,0,H
24,Stoke City FC,70,Huddersfield Town,394,2,0,H
24,West Ham United FC,563,AFC Bournemouth,1044,1,1,D
24,Manchester City FC,65,Newcastle United FC,67,3,1,H
24,Southampton FC,340,Tottenham Hotspur FC,73,1,1,D
24,Swansea City FC,72,Liverpool FC,64,1,0,H
25,Swansea City FC,72,Arsenal FC,57,3,1,H
25,West Ham United FC,563,Crystal Palace FC,354,1,1,D
25,Huddersfield Town,394,Liverpool FC,64,0,3,A
25,Southampton FC,340,Brighton & Hove Albion,397,1,1,D
25,Newcastle United FC,67,Burnley FC,328,1,1,D
25,Everton FC,62,Leicester City FC,338,2,1,H
25,Chelsea FC,61,AFC Bournemouth,1044,0,3,A
25,Manchester City FC,65,West Bromwich Albion FC,74,3,0,H
25,Stoke City FC,70,Watford FC,346,0,0,D
25,Tottenham Hotspur FC,73,Manchester United FC,66,2,0,H
26,Burnley FC,328,Manchester City FC,65,1,1,D
26,Brighton & Hove Albion,397,West Ham United FC,563,3,1,H
26,Leicester City FC,338,Swansea City FC,72,1,1,D
26,AFC Bournemouth,1044,Stoke City FC,70,2,1,H
26,Manchester United FC,66,Huddersfield Town,394,2,0,H
26,West Bromwich Albion FC,74,Southampton FC,340,2,3,A
26,Arsenal FC,57,Everton FC,62,5,1,H
26,Crystal Palace FC,354,Newcastle United FC,67,1,1,D
26,Liverpool FC,64,Tottenham Hotspur FC,73,2,2,D
26,Watford FC,346,Chelsea FC,61,4,1,H
27,Tottenham Hotspur FC,73,Arsenal FC,57,1,0,H
27,West Ham United FC,563,Watford FC,346,2,0,H
27,Swansea City FC,72,Burnley FC,328,1,0,H
27,Stoke City FC,70,Brighton & Hove Albion,397,1,1,D
27,Everton FC,62,Crystal Palace FC,354,3,1,H
27,Manchester City FC,65,Leicester City FC,338,5,1,H
27,Huddersfield Town,394,AFC Bournemouth,1044,4,1,H
27,Newcastle United FC,67,Manchester United FC,66,1,0,H
27,Southampton FC,340,Liverpool FC,64,0,2,A
27,Chelsea FC,61,West Bromwich Albion FC,74,3,0,H
28,Leicester City FC,338,Stoke City FC,70,1,1,D
28,West Bromwich Albion FC,74,Huddersfield Town,394,1,2,A
28,AFC Bournemouth,1044,Newcastle United FC,67,2,2,D
28,Brighton & Hove Albion,397,Swansea City FC,72,4,1,H
28,Liverpool FC,64,West Ham United FC,563,4,1,H
28,Burnley FC,328,Southampton FC,340,1,1,D
28,Watford FC,346,Everton FC,62,1,0,H
28,Crystal Palace FC,354,Tottenham Hotspur FC,73,0,1,A
28,Manchester United FC,66,Chelsea FC,61,2,1,H
28,Arsenal FC,57,Manchester City FC,65,0,3,A
29,Burnley FC,328,Everton FC,62,2,1,H
29,Leicester City FC,338,AFC Bournemouth,1044,1,1,D
29,Southampton FC,340,Stoke City FC,70,0,0,D
29,Swansea City FC,72,West Ham United FC,563,4,1,H
29,Watford FC,346,West Bromwich Albion FC,74,1,0,H
29,Tottenham Hotspur FC,73,Huddersfield Town,394,2,0,H
29,Liverpool FC,64,Newcastle United FC,67,2,0,H
29,Brighton & Hove Albion,397,Arsenal FC,57,2,1,H
29,Manchester City FC,65,Chelsea FC,61,1,0,H
29,Crystal Palace FC,354,Manchester United FC,66,2,3,A
30,Manchester United FC,66,Liverpool FC,64,2,1,H
30,Everton FC,62,Brighton & Hove Albion,397,2,0,H
30,Huddersfield Town,394,Swansea City FC,72,0,0,D
30,Newcastle United FC,67,Southampton FC,340,3,0,H
30,West Bromwich Albion FC,74,Leicester City FC,338,1,4,A
30,West Ham United FC,563,Burnley FC,328,0,3,A
30,Chelsea FC,61,Crystal Palace FC,354,2,1,H
30,Arsenal FC,57,Watford FC,346,3,0,H
30,AFC Bournemouth,1044,Tottenham Hotspur FC,73,1,4,A
30,Stoke City FC,70,Manchester City FC,65,0,2,A
31,AFC Bournemouth,1044,West Bromwich Albion FC,74,2,1,H
31,Huddersfield Town,394,Crystal Palace FC,354,0,2,A
31,Stoke City FC,70,Everton FC,62,1,2,A
31,Liverpool FC,64,Watford FC,346,5,0,H
32,Crystal Palace FC,354,Liverpool FC,64,1,2,A
32,West Ham United FC,563,Southampton FC,340,3,0,H
32,Brighton & Hove Albion,397,Leicester City FC,338,0,2,A
32,Manchester United FC,66,Swansea City FC,72,2,0,H
32,Newcastle United FC,67,Huddersfield Town,394,1,0,H
32,Watford FC,346,AFC Bournemouth,1044,2,2,D
32,West Bromwich Albion FC,74,Burnley FC,328,1,2,A
32,Everton FC,62,Manchester City FC,65,1,3,A
32,Arsenal FC,57,Stoke City FC,70,3,0,H
32,Chelsea FC,61,Tottenham Hotspur FC,73,1,3,A
33,Everton FC,62,Liverpool FC,64,0,0,D
33,West Bromwich Albion FC,74,Swansea City FC,72,1,1,D
33,AFC Bournemouth,1044,Crystal Palace FC,354,2,2,D
33,Brighton & Hove Albion,397,Huddersfield Town,394,1,1,D
33,Leicester City FC,338,Newcastle United FC,67,1,2,A
33,Stoke City FC,70,Tottenham Hotspur FC,73,1,2,A
33,Watford FC,346,Burnley FC,328,1,2,A
33,Manchester City FC,65,Manchester United FC,66,2,3,A
33,Arsenal FC,57,Southampton FC,340,3,2,H
33,Chelsea FC,61,West Ham United FC,563,1,1,D
34,Southampton FC,340,Chelsea FC,61,NA,NA,NA
34,Burnley FC,328,Leicester City FC,338,NA,NA,NA
34,Swansea City FC,72,Everton FC,62,NA,NA,NA
34,Huddersfield Town,394,Watford FC,346,NA,NA,NA
34,Crystal Palace FC,354,Brighton & Hove Albion,397,NA,NA,NA
34,Liverpool FC,64,AFC Bournemouth,1044,NA,NA,NA
34,Tottenham Hotspur FC,73,Manchester City FC,65,NA,NA,NA
34,Newcastle United FC,67,Arsenal FC,57,NA,NA,NA
34,Manchester United FC,66,West Bromwich Albion FC,74,NA,NA,NA
34,West Ham United FC,563,Stoke City FC,70,NA,NA,NA
35,Brighton & Hove Albion,397,Tottenham Hotspur FC,73,NA,NA,NA
35,AFC Bournemouth,1044,Manchester United FC,66,NA,NA,NA
35,Leicester City FC,338,Southampton FC,340,NA,NA,NA
31,Burnley FC,328,Chelsea FC,61,NA,NA,NA
35,Watford FC,346,Crystal Palace FC,354,NA,NA,NA
35,Chelsea FC,61,Huddersfield Town,394,NA,NA,NA
35,Stoke City FC,70,Burnley FC,328,NA,NA,NA
35,Arsenal FC,57,West Ham United FC,563,NA,NA,NA
35,Manchester City FC,65,Swansea City FC,72,NA,NA,NA
35,West Bromwich Albion FC,74,Liverpool FC,64,NA,NA,NA
35,Everton FC,62,Newcastle United FC,67,NA,NA,NA
36,Liverpool FC,64,Stoke City FC,70,NA,NA,NA
36,Burnley FC,328,Brighton & Hove Albion,397,NA,NA,NA
36,Crystal Palace FC,354,Leicester City FC,338,NA,NA,NA
36,Huddersfield Town,394,Everton FC,62,NA,NA,NA
36,Newcastle United FC,67,West Bromwich Albion FC,74,NA,NA,NA
36,Southampton FC,340,AFC Bournemouth,1044,NA,NA,NA
36,Swansea City FC,72,Chelsea FC,61,NA,NA,NA
36,West Ham United FC,563,Manchester City FC,65,NA,NA,NA
36,Manchester United FC,66,Arsenal FC,57,NA,NA,NA
36,Tottenham Hotspur FC,73,Watford FC,346,NA,NA,NA
37,West Bromwich Albion FC,74,Tottenham Hotspur FC,73,NA,NA,NA
37,Arsenal FC,57,Burnley FC,328,NA,NA,NA
37,AFC Bournemouth,1044,Swansea City FC,72,NA,NA,NA
37,Brighton & Hove Albion,397,Manchester United FC,66,NA,NA,NA
37,Chelsea FC,61,Liverpool FC,64,NA,NA,NA
37,Everton FC,62,Southampton FC,340,NA,NA,NA
37,Leicester City FC,338,West Ham United FC,563,NA,NA,NA
37,Manchester City FC,65,Huddersfield Town,394,NA,NA,NA
37,Stoke City FC,70,Crystal Palace FC,354,NA,NA,NA
37,Watford FC,346,Newcastle United FC,67,NA,NA,NA
31,Tottenham Hotspur FC,73,Newcastle United FC,67,NA,NA,NA
31,Leicester City FC,338,Arsenal FC,57,NA,NA,NA
31,Swansea City FC,72,Southampton FC,340,NA,NA,NA
31,West Ham United FC,563,Manchester United FC,66,NA,NA,NA
31,Manchester City FC,65,Brighton & Hove Albion,397,NA,NA,NA
38,Crystal Palace FC,354,West Bromwich Albion FC,74,NA,NA,NA
38,Huddersfield Town,394,Arsenal FC,57,NA,NA,NA
38,Liverpool FC,64,Brighton & Hove Albion,397,NA,NA,NA
38,Manchester United FC,66,Watford FC,346,NA,NA,NA
38,Newcastle United FC,67,Chelsea FC,61,NA,NA,NA
38,Southampton FC,340,Manchester City FC,65,NA,NA,NA
38,Tottenham Hotspur FC,73,Leicester City FC,338,NA,NA,NA
38,West Ham United FC,563,Everton FC,62,NA,NA,NA
38,Burnley FC,328,AFC Bournemouth,1044,NA,NA,NA
38,Swansea City FC,72,Stoke City FC,70,NA,NA,NA
