"team","teamId","playedGames","goalDifference","points","rank"
"ManCity","65",38,79,100,1
"ManU","66",38,40,81,2
"Spurs","73",38,38,77,3
"Liverpool","64",38,46,75,4
"Chelsea","61",38,24,70,5
"Arsenal","57",38,23,63,6
"Burnley","328",38,-3,54,7
"Everton","62",38,-14,49,8
"Foxes","338",38,-4,47,9
"Newcastle","67",38,-8,44,10
"Crystal","354",38,-10,44,11
"Bournemouth","1044",38,-16,44,12
"West Ham","563",38,-20,42,13
"Watford","346",38,-20,41,14
"Brighton","397",38,-20,40,15
"Huddersfield","394",38,-30,37,16
"Southampton","340",38,-19,36,17
"Swans","72",38,-28,33,18
"Stoke","70",38,-33,33,19
"West Bromwich","74",38,-25,31,20
