"team","teamId","playedGames","goalDifference","points","rank"
"FC Porto",503,33,47,85,1
"Sporting Clube de Portugal",498,33,62,79,2
"Sport Lisboa e Benfica",1903,33,47,77,3
"Sporting Clube de Braga",5613,33,28,58,4
"FC Famalicão",5531,33,12,53,5
"Gil Vicente FC",5533,33,12,50,6
"Moreirense FC",583,33,-12,42,7
"Vitória SC",5543,33,-10,42,8
"GD Estoril Praia",582,33,-1,39,9
"FC Arouca",712,33,-19,39,10
"FC Alverca",7822,33,-16,39,11
"CD Santa Clara",5530,33,-8,36,12
"Rio Ave FC",496,33,-22,35,13
"CD Nacional",5529,33,-10,31,14
"CF Estrela da Amadora",9136,33,-18,29,15
"Casa Pia AC",6618,33,-26,29,16
"CD Tondela",1049,33,-26,28,17
"AVS",10340,33,-40,20,18
