"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Pto","Porto",33,47,85,1,1,32.9,2.58
"Spo","Sporting CP",33,62,79,2,2,33,2.4
"Ben","SL Benfica",33,47,77,3,3,32.9,2.34
"Bra","Braga",33,28,58,4,4,32.7,1.77
"Fam","Famalicão",33,12,53,5,5,32.7,1.62
"Gil","Gil Vicente",33,12,50,6,6,33.7,1.48
"Mor","Moreirense",33,-12,42,7,7,32.2,1.3
"Vit","Vitória SC",33,-10,42,8,8,33,1.27
"Aro","Arouca",33,-19,39,10,9,32.6,1.2
"Est","Estoril Praia",33,-1,39,9,10,33.7,1.16
"Alv","Alverca",33,-16,39,11,11,33.5,1.16
"Rio","Rio Ave",33,-22,35,13,12,32.2,1.09
"Cla","Santa Clara",33,-8,36,12,13,33.9,1.06
"Nac","CD Nacional",33,-10,31,14,14,32.6,0.95
"Cas","Casa Pia",33,-26,29,16,15,33.1,0.88
"Ama","Amadora",33,-18,29,15,16,33.5,0.87
"Ton","Tondela",33,-26,28,17,17,32.8,0.85
"AVS","AVS",33,-40,20,18,18,33.3,0.6
