"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Mco","yes",0,"0.66","0.49","0.49"
"2","A","Lil","yes",0,"0.93","0.29","0.78"
"3","A","PSG","yes",0,"0.88","0.32","1.10"
"4","H","Rei","yes",3,"1.20","0.08","1.18"
"5","A","Mar","yes",1,"0.99","0.24","1.43"
"6","H","Lor","yes",3,"2.08","-0.59","0.83"
"7","A","Ang","yes",1,"1.76","-0.35","0.48"
"8","H","StE","yes",3,"1.25","0.04","0.52"
"9","A","Nim","yes",3,"2.14","-0.64","-0.12"
"10","H","Dij","yes",1,"1.94","-0.49","-0.61"
"11","A","Nan","yes",1,"2.04","-0.56","-1.17"
"12","H","Bre","yes",0,"2.03","-0.56","-1.73"
"13","H","Lyo","yes",0,"0.59","0.55","-1.18"
"14","A","Str","yes",1,"1.79","-0.37","-1.55"
"15","A","Mtp","yes",3,"1.38","-0.06","-1.61"
"16","H","Len","yes",3,"0.79","0.39","-1.22"
"17","A","Ren","yes",0,"1.34","-0.03","-1.25"
"18","H","Bor","yes",1,"1.35","-0.03","-1.28"
"19","H","Nic","yes",1,"1.04","0.20","-1.08"
"20","A","Lyo","yes",3,"0.82","0.37","-0.70"
"21","H","Nan","yes",3,"1.51","-0.16","-0.86"
"22","A","Bre","yes",3,"1.16","0.11","-0.76"
"23","H","Mtp","yes",1,"0.96","0.27","-0.49"
"24","A","StE","yes",0,"1.61","-0.24","-0.73"
"25","H","Str","yes",0,"1.21","0.07","-0.66"
"26","A","Nic","yes",3,"1.69","-0.30","-0.96"
"27","A","Bor","yes",3,"1.77","-0.35","-1.31"
"28","H","Ang","yes",0,"1.12","0.14","-1.17"
"29","A","Len","yes",1,"1.44","-0.11","-1.27"
"30","H","Ren","yes",0,"0.91","0.30","-0.97"
"31","A","Mco","yes",0,"0.65","0.50","-0.47"
"32","H","Lil","yes",0,"0.37","0.72","0.24"
"33","A","Rei","yes",1,"1.61","-0.24","0.00"
"34","H","PSG","no",NA,"0.44","0.66","0.66"
"35","A","Dij","no",NA,"2.32","-0.78","-0.12"
"36","H","Nim","no",NA,"1.29","0.01","-0.10"
"37","A","Lor","no",NA,"1.34","-0.03","-0.13"
"38","H","Mar","no",NA,"1.14","0.13","-0.00"
