"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Len","yes",3,"0.82","0.36","0.36"
"2","A","Str","yes",3,"1.71","-0.33","0.02"
"3","A","Mtp","yes",0,"1.31","-0.02","0.00"
"4","H","PSG","yes",0,"0.44","0.66","0.66"
"5","A","Bor","yes",1,"1.69","-0.32","0.35"
"6","H","Nan","yes",3,"1.55","-0.21","0.13"
"7","A","StE","yes",3,"1.68","-0.31","-0.18"
"8","H","Lil","yes",1,"0.38","0.70","0.52"
"9","A","Ang","yes",3,"1.69","-0.32","0.21"
"10","H","Mco","yes",0,"0.69","0.46","0.67"
"11","H","Dij","yes",0,"1.97","-0.54","0.14"
"12","A","Rei","yes",1,"1.62","-0.26","-0.12"
"13","H","Ren","yes",0,"0.95","0.26","0.14"
"14","A","Nim","yes",3,"2.07","-0.61","-0.47"
"15","H","Lyo","yes",0,"0.61","0.52","0.05"
"16","H","Lor","yes",1,"2.11","-0.65","-0.60"
"17","A","Bre","yes",0,"1.10","0.14","-0.46"
"18","A","Mtz","yes",1,"1.67","-0.30","-0.76"
"19","H","Bor","yes",0,"1.38","-0.08","-0.84"
"20","A","Len","yes",3,"1.36","-0.06","-0.90"
"21","H","StE","yes",0,"1.28","0.00","-0.90"
"22","A","Mco","yes",0,"0.60","0.53","-0.37"
"23","H","Ang","yes",3,"1.16","0.10","-0.27"
"24","A","PSG","yes",0,"0.82","0.36","0.09"
"25","A","Mar","yes",0,"0.92","0.28","0.37"
"26","H","Mtz","yes",0,"1.02","0.20","0.58"
"27","A","Ren","yes",3,"1.27","0.01","0.59"
"28","H","Nim","yes",3,"1.33","-0.03","0.56"
"29","A","Lor","yes",1,"1.26","0.02","0.57"
"30","H","Mar","yes",3,"1.07","0.16","0.74"
"31","A","Nan","yes",3,"1.97","-0.53","0.21"
"32","H","Rei","yes",1,"1.24","0.04","0.24"
"33","A","Dij","yes",0,"2.26","-0.76","-0.52"
"34","H","Mtp","no",NA,"0.99","0.23","-0.30"
"35","A","Lil","no",NA,"0.87","0.32","0.03"
"36","H","Bre","no",NA,"1.88","-0.46","-0.43"
"37","H","Str","no",NA,"1.25","0.02","-0.41"
"38","A","Lyo","no",NA,"0.76","0.41","-0.00"
