"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Nim","yes",0,"1.22","-0.06","-0.06"
"2","H","Mar","yes",0,"1.62","-0.40","-0.45"
"3","A","Dij","yes",3,"1.49","-0.28","-0.73"
"4","H","Lor","yes",3,"2.48","-1.14","-1.87"
"5","A","Ang","yes",0,"0.88","0.24","-1.63"
"6","H","Mco","yes",3,"1.10","0.05","-1.58"
"7","A","Nan","yes",0,"1.11","0.04","-1.54"
"8","H","Str","yes",0,"1.80","-0.55","-2.09"
"9","A","Ren","yes",0,"0.51","0.56","-1.53"
"10","H","Lil","yes",3,"0.70","0.39","-1.14"
"11","H","StE","yes",3,"1.82","-0.57","-1.71"
"12","A","Mtz","yes",3,"0.83","0.29","-1.43"
"13","A","Bor","yes",0,"0.84","0.27","-1.15"
"14","H","Rei","yes",3,"1.78","-0.54","-1.69"
"15","A","Lyo","yes",1,"0.28","0.75","-0.94"
"16","H","Mtp","yes",1,"1.63","-0.41","-1.34"
"17","A","Len","yes",0,"0.55","0.52","-0.82"
"18","H","Nic","yes",3,"1.63","-0.40","-1.22"
"19","A","PSG","yes",0,"0.31","0.73","-0.49"
"20","H","Ren","yes",0,"1.48","-0.28","-0.77"
"21","A","Rei","yes",0,"0.78","0.32","-0.45"
"22","H","Mtz","yes",0,"1.56","-0.35","-0.80"
"23","A","Str","yes",1,"0.94","0.19","-0.61"
"24","H","Bor","yes",3,"1.98","-0.71","-1.32"
"25","A","Lil","yes",1,"0.33","0.71","-0.61"
"26","H","Lyo","yes",0,"1.05","0.09","-0.52"
"27","A","Mco","yes",0,"0.22","0.81","0.29"
"28","H","Dij","yes",3,"2.41","-1.08","-0.79"
"29","A","Mar","yes",0,"0.36","0.69","-0.10"
"30","H","Ang","yes",1,"1.70","-0.47","-0.57"
"31","A","Lor","yes",0,"0.50","0.57","0.00"
"32","H","Nim","yes",1,"1.93","-0.67","-0.66"
"33","H","Len","yes",1,"1.33","-0.15","-0.82"
"34","A","StE","yes",3,"0.83","0.28","-0.54"
"35","H","Nan","no",NA,"1.96","-0.70","-1.23"
"36","A","Nic","no",NA,"0.69","0.40","-0.83"
"37","A","Mtp","no",NA,"0.57","0.51","-0.32"
"38","H","PSG","no",NA,"0.79","0.32","0.00"
