"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Dij","yes",3,"2.21","-0.83","-0.83"
"2","H","Bor","yes",0,"1.37","-0.13","-0.96"
"3","H","Rei","yes",3,"1.16","0.04","-0.92"
"4","A","Mtp","yes",0,"1.23","-0.02","-0.94"
"5","H","Bre","yes",3,"1.81","-0.50","-1.44"
"6","A","PSG","yes",0,"0.76","0.37","-1.07"
"7","H","Mtz","yes",1,"0.95","0.21","-0.86"
"8","A","Ren","yes",3,"1.14","0.05","-0.80"
"9","H","Nic","yes",0,"1.01","0.17","-0.64"
"10","A","Nim","yes",3,"2.00","-0.66","-1.29"
"11","H","Lyo","yes",0,"0.56","0.53","-0.76"
"12","A","Len","yes",3,"1.20","0.01","-0.75"
"13","H","Lor","yes",3,"2.05","-0.69","-1.45"
"14","A","StE","yes",1,"1.60","-0.32","-1.77"
"15","H","Str","yes",0,"1.18","0.03","-1.75"
"16","A","Nan","yes",1,"1.90","-0.57","-2.32"
"17","H","Mar","yes",3,"1.00","0.17","-2.14"
"18","A","Lil","yes",3,"0.80","0.34","-1.81"
"19","A","Mco","yes",0,"0.55","0.54","-1.27"
"20","H","PSG","yes",0,"0.40","0.67","-0.59"
"21","A","Bor","yes",0,"1.61","-0.33","-0.93"
"22","H","Nim","yes",3,"1.32","-0.09","-1.02"
"23","A","Rei","yes",1,"1.53","-0.27","-1.29"
"24","A","Nic","yes",0,"1.42","-0.17","-1.46"
"25","H","Nan","yes",0,"1.35","-0.12","-1.58"
"26","A","Str","yes",1,"1.73","-0.43","-2.01"
"27","H","Len","yes",1,"0.76","0.37","-1.64"
"28","A","Mtz","yes",3,"1.59","-0.32","-1.96"
"29","H","StE","yes",0,"1.20","0.01","-1.95"
"30","A","Bre","yes",1,"1.03","0.15","-1.81"
"31","H","Mtp","yes",1,"1.01","0.16","-1.64"
"32","A","Lyo","yes",0,"0.70","0.42","-1.22"
"33","H","Ren","yes",0,"0.88","0.27","-0.95"
"34","H","Mco","no",NA,"0.63","0.48","-0.47"
"35","A","Lor","no",NA,"1.11","0.08","-0.39"
"36","H","Dij","no",NA,"1.94","-0.61","-1.00"
"37","A","Mar","no",NA,"0.86","0.29","-0.71"
"38","H","Lil","no",NA,"0.35","0.71","0.00"
