"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Lil","yes",1,"1.01","0.34","0.34"
"2","H","Mtp","yes",3,"1.34","0.13","0.47"
"3","A","Nim","yes",3,"2.20","-0.44","0.03"
"4","H","Mco","yes",3,"0.98","0.36","0.38"
"5","A","StE","yes",3,"1.70","-0.11","0.27"
"6","H","Rei","yes",1,"1.60","-0.05","0.23"
"7","A","Dij","yes",1,"2.38","-0.55","-0.33"
"8","H","Ang","yes",0,"1.51","0.01","-0.31"
"9","H","Bre","yes",3,"2.33","-0.52","-0.83"
"10","A","PSG","yes",0,"0.96","0.37","-0.46"
"11","H","Bor","yes",0,"1.75","-0.14","-0.60"
"12","A","Str","yes",1,"1.87","-0.22","-0.82"
"13","H","Len","yes",0,"1.15","0.25","-0.57"
"14","A","Nic","yes",3,"1.78","-0.16","-0.73"
"15","H","Mar","yes",3,"1.54","-0.00","-0.74"
"16","A","Lor","yes",3,"1.43","0.07","-0.67"
"17","H","Mtz","yes",3,"1.37","0.10","-0.56"
"18","A","Nan","yes",1,"2.11","-0.38","-0.94"
"19","H","Lyo","yes",1,"0.89","0.42","-0.52"
"20","A","Bre","yes",3,"1.25","0.18","-0.34"
"21","H","Lil","yes",0,"0.58","0.62","0.29"
"22","H","Lor","yes",1,"2.37","-0.55","-0.26"
"23","A","Len","yes",1,"1.53","0.00","-0.26"
"24","H","StE","yes",0,"1.65","-0.08","-0.34"
"25","A","Mtp","yes",0,"1.47","0.04","-0.29"
"26","H","Nic","yes",0,"1.43","0.07","-0.23"
"27","A","Lyo","yes",0,"0.89","0.42","0.19"
"28","A","Mar","yes",0,"1.07","0.30","0.49"
"29","H","Str","yes",3,"1.61","-0.05","0.44"
"30","A","Mtz","yes",3,"1.80","-0.18","0.26"
"31","A","Rei","yes",1,"1.70","-0.11","0.15"
"32","H","Nan","yes",3,"1.90","-0.24","-0.09"
"33","A","Ang","yes",3,"1.85","-0.21","-0.30"
"34","H","Dij","no",NA,"2.26","-0.48","-0.77"
"35","A","Bor","no",NA,"1.85","-0.21","-0.98"
"36","H","PSG","no",NA,"0.69","0.55","-0.43"
"37","A","Mco","no",NA,"0.72","0.53","0.10"
"38","H","Nim","no",NA,"1.69","-0.10","-0.00"
