"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Nic","yes",0,"1.80","-0.16","-0.16"
"2","H","PSG","yes",3,"0.59","0.62","0.46"
"3","A","Lor","yes",3,"1.57","-0.01","0.45"
"4","H","Bor","yes",3,"1.65","-0.06","0.39"
"5","A","Nim","yes",1,"2.30","-0.48","-0.09"
"6","H","StE","yes",3,"1.55","0.01","-0.09"
"7","A","Lil","yes",0,"1.15","0.26","0.17"
"8","H","Rei","yes",1,"1.50","0.03","0.21"
"9","A","Dij","yes",3,"2.46","-0.58","-0.37"
"10","H","Nan","yes",1,"1.82","-0.17","-0.54"
"11","H","Ang","yes",0,"1.42","0.09","-0.46"
"12","A","Ren","yes",3,"1.58","-0.02","-0.47"
"13","H","Mtp","yes",0,"1.35","0.13","-0.34"
"14","A","Mco","yes",3,"0.83","0.47","0.12"
"15","A","Mtz","yes",0,"1.97","-0.26","-0.14"
"16","H","Bre","yes",3,"2.11","-0.36","-0.50"
"17","A","Lyo","yes",0,"1.02","0.34","-0.16"
"18","H","Str","yes",0,"1.53","0.02","-0.14"
"19","A","Nan","yes",1,"2.21","-0.42","-0.57"
"20","A","Mar","yes",3,"1.21","0.22","-0.35"
"21","H","Nic","yes",0,"1.35","0.14","-0.21"
"22","A","Mtp","yes",3,"1.62","-0.04","-0.25"
"23","H","Mar","yes",1,"1.34","0.14","-0.11"
"24","H","Ren","yes",1,"1.20","0.23","0.12"
"25","A","Rei","yes",1,"1.92","-0.23","-0.12"
"26","H","Dij","yes",3,"2.19","-0.41","-0.52"
"27","A","Ang","yes",1,"1.98","-0.27","-0.80"
"28","A","StE","yes",3,"1.97","-0.27","-1.06"
"29","H","Mtz","yes",1,"1.28","0.18","-0.89"
"30","A","Str","yes",3,"1.99","-0.28","-1.17"
"31","H","Lyo","yes",1,"0.81","0.48","-0.69"
"32","H","Lor","yes",3,"2.31","-0.48","-1.18"
"33","A","Bre","yes",1,"1.41","0.10","-1.08"
"34","H","Nim","no",NA,"1.59","-0.03","-1.11"
"35","A","PSG","no",NA,"1.10","0.29","-0.81"
"36","H","Lil","no",NA,"0.52","0.66","-0.15"
"37","A","Bor","no",NA,"1.98","-0.27","-0.42"
"38","H","Mco","no",NA,"0.90","0.42","-0.00"
