"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Bre","yes",3,"1.09","0.33","0.33"
"2","A","PSG","yes",3,"0.82","0.50","0.83"
"3","H","StE","yes",0,"2.01","-0.23","0.60"
"4","H","Lil","yes",1,"0.87","0.47","1.07"
"5","H","Mtz","yes",1,"1.77","-0.08","0.99"
"6","A","Lyo","yes",1,"0.76","0.54","1.52"
"7","H","Bor","yes",3,"2.10","-0.28","1.24"
"8","A","Lor","yes",3,"1.26","0.23","1.47"
"9","A","Str","yes",3,"1.72","-0.05","1.42"
"10","H","Nan","yes",3,"2.23","-0.36","1.05"
"11","A","Nim","yes",3,"2.08","-0.27","0.78"
"12","H","Mco","yes",3,"1.36","0.17","0.95"
"13","A","Ren","yes",0,"1.27","0.22","1.18"
"14","H","Rei","yes",1,"1.97","-0.21","0.97"
"15","A","Ang","yes",0,"1.69","-0.04","0.93"
"16","H","Mtp","yes",3,"1.73","-0.06","0.87"
"17","A","Dij","yes",1,"2.27","-0.39","0.48"
"18","H","Nim","yes",0,"2.05","-0.25","0.23"
"19","H","Len","yes",0,"1.54","0.06","0.29"
"20","A","Mco","yes",0,"0.60","0.63","0.92"
"21","A","Len","yes",1,"1.37","0.16","1.08"
"22","H","PSG","yes",0,"1.01","0.38","1.46"
"23","A","Bor","yes",1,"1.69","-0.04","1.43"
"24","H","Nic","yes",3,"1.82","-0.11","1.31"
"25","A","Nan","yes",1,"1.97","-0.21","1.11"
"26","H","Lyo","yes",1,"1.25","0.23","1.34"
"27","A","Lil","yes",0,"0.87","0.47","1.81"
"28","H","Ren","yes",3,"1.68","-0.03","1.78"
"29","H","Bre","yes",3,"2.55","-0.56","1.22"
"30","A","Nic","yes",0,"1.62","0.01","1.23"
"31","H","Dij","yes",3,"2.50","-0.53","0.70"
"32","A","Mtp","yes",1,"1.30","0.20","0.90"
"33","H","Lor","yes",3,"2.57","-0.58","0.32"
"34","A","Rei","yes",3,"1.62","0.01","0.33"
"35","H","Str","no",NA,"1.99","-0.22","0.12"
"36","A","StE","no",NA,"1.55","0.05","0.17"
"37","H","Ang","no",NA,"1.90","-0.16","0.01"
"38","A","Mtz","no",NA,"1.65","-0.01","-0.00"
