"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Lor","yes",3,"2.06","-0.79","-0.79"
"2","H","Str","yes",3,"1.19","-0.03","-0.82"
"3","A","Mar","yes",3,"0.75","0.35","-0.47"
"4","A","Nan","yes",1,"1.76","-0.53","-1.00"
"5","H","Ren","yes",0,"0.89","0.22","-0.78"
"6","A","Len","yes",0,"1.15","0.00","-0.77"
"7","H","Nic","yes",0,"1.02","0.12","-0.66"
"8","A","Mtz","yes",0,"1.42","-0.24","-0.89"
"9","H","Mtp","yes",0,"0.94","0.19","-0.71"
"10","A","Lyo","yes",0,"0.60","0.48","-0.23"
"11","A","Bre","yes",0,"0.90","0.22","-0.01"
"12","H","Lil","yes",1,"0.36","0.69","0.68"
"13","A","Dij","yes",1,"2.10","-0.82","-0.14"
"14","H","Ang","yes",1,"1.09","0.05","-0.10"
"15","A","Bor","yes",3,"1.47","-0.28","-0.37"
"16","H","Nim","yes",1,"1.26","-0.10","-0.47"
"17","A","Mco","yes",1,"0.47","0.59","0.12"
"18","H","PSG","yes",1,"0.43","0.63","0.74"
"19","A","Rei","yes",0,"1.39","-0.21","0.53"
"20","A","Str","yes",0,"1.49","-0.30","0.23"
"21","H","Lyo","yes",0,"0.57","0.50","0.73"
"22","A","Nic","yes",3,"1.40","-0.22","0.52"
"23","H","Nan","yes",1,"1.49","-0.30","0.22"
"24","H","Mtz","yes",3,"0.97","0.16","0.38"
"25","A","Ren","yes",3,"1.05","0.09","0.47"
"26","H","Rei","yes",1,"1.17","-0.02","0.45"
"27","A","Lor","yes",0,"1.05","0.09","0.54"
"28","H","Len","yes",0,"0.77","0.33","0.86"
"29","A","Ang","yes",3,"1.47","-0.28","0.59"
"30","H","Mco","yes",0,"0.64","0.44","1.03"
"31","A","Nim","yes",3,"1.88","-0.63","0.40"
"32","H","Bor","yes",3,"1.32","-0.15","0.25"
"33","A","PSG","yes",0,"0.65","0.43","0.68"
"34","H","Bre","yes",0,"1.82","-0.58","0.10"
"35","A","Mtp","no",NA,"1.10","0.05","0.15"
"36","H","Mar","no",NA,"1.02","0.12","0.27"
"37","A","Lil","no",NA,"0.70","0.40","0.66"
"38","H","Dij","no",NA,"1.91","-0.66","0.00"
