"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Nan","yes",1,"1.36","-0.28","-0.28"
"2","A","Ang","yes",3,"1.33","-0.25","-0.53"
"3","H","Lyo","yes",1,"0.56","0.47","-0.06"
"4","A","Len","yes",0,"0.91","0.14","0.08"
"5","H","Nic","yes",1,"1.01","0.05","0.14"
"6","H","Dij","yes",3,"1.94","-0.83","-0.69"
"7","A","Mar","yes",0,"0.62","0.42","-0.27"
"8","H","Nim","yes",3,"1.33","-0.24","-0.51"
"9","A","Mco","yes",0,"0.39","0.64","0.12"
"10","H","Mtp","yes",0,"1.02","0.05","0.17"
"11","A","Ren","yes",3,"0.85","0.20","0.37"
"12","A","PSG","yes",1,"0.54","0.49","0.86"
"13","H","Bre","yes",3,"1.82","-0.71","0.15"
"14","A","Lil","yes",0,"0.58","0.46","0.61"
"15","H","StE","yes",0,"1.20","-0.13","0.48"
"16","A","Str","yes",3,"1.41","-0.32","0.16"
"17","H","Rei","yes",0,"1.16","-0.09","0.06"
"18","A","Mtz","yes",1,"1.27","-0.20","-0.13"
"19","H","Lor","yes",3,"2.05","-0.93","-1.06"
"20","A","Nic","yes",3,"1.10","-0.04","-1.09"
"21","H","Ang","yes",3,"1.09","-0.02","-1.11"
"22","A","Lyo","yes",0,"0.54","0.50","-0.61"
"23","H","Lil","yes",0,"0.31","0.71","0.09"
"24","A","Bre","yes",0,"0.76","0.29","0.38"
"25","H","Mar","yes",1,"1.00","0.06","0.44"
"26","A","Nim","yes",0,"1.71","-0.60","-0.17"
"27","H","Mtz","yes",0,"0.96","0.10","-0.07"
"28","H","PSG","yes",0,"0.40","0.62","0.56"
"29","A","Dij","yes",3,"1.96","-0.84","-0.28"
"30","A","Mtp","yes",0,"0.93","0.13","-0.15"
"31","H","Str","yes",0,"1.18","-0.11","-0.26"
"32","A","StE","yes",0,"1.28","-0.20","-0.47"
"33","H","Mco","yes",0,"0.60","0.44","-0.03"
"34","A","Lor","yes",0,"0.83","0.22","0.19"
"35","H","Ren","no",NA,"0.89","0.17","0.36"
"36","A","Nan","no",NA,"1.59","-0.50","-0.13"
"37","H","Len","no",NA,"0.77","0.28","0.14"
"38","A","Rei","no",NA,"1.22","-0.14","-0.00"
