"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Ren","yes",0,"1.22","0.15","0.15"
"2","H","Nic","yes",3,"1.40","0.02","0.17"
"3","H","Lyo","yes",3,"0.86","0.40","0.57"
"4","H","Ang","yes",3,"1.48","-0.03","0.54"
"5","A","Dij","yes",1,"2.27","-0.58","-0.04"
"6","H","Nim","yes",0,"1.73","-0.20","-0.25"
"7","A","Mco","yes",1,"0.61","0.58","0.33"
"8","H","Rei","yes",0,"1.56","-0.09","0.24"
"9","A","StE","yes",3,"1.68","-0.17","0.07"
"10","A","Bor","yes",3,"1.69","-0.18","-0.11"
"11","H","Str","yes",3,"1.58","-0.10","-0.21"
"12","A","Lor","yes",3,"1.19","0.17","-0.04"
"13","H","PSG","yes",0,"0.62","0.56","0.53"
"14","A","Len","yes",3,"1.28","0.11","0.63"
"15","H","Mtz","yes",0,"1.34","0.07","0.70"
"16","A","Bre","yes",1,"1.11","0.23","0.92"
"17","H","Lil","yes",0,"0.56","0.61","1.54"
"18","A","Mar","yes",0,"0.93","0.35","1.89"
"19","H","Nan","yes",1,"1.76","-0.23","1.66"
"20","H","Mco","yes",0,"0.95","0.34","2.00"
"21","A","PSG","yes",0,"0.83","0.42","2.43"
"22","H","Len","yes",0,"1.12","0.22","2.65"
"23","A","Mtz","yes",1,"1.67","-0.17","2.48"
"24","H","Dij","yes",3,"2.27","-0.58","1.90"
"25","A","Lyo","yes",3,"0.76","0.47","2.37"
"26","H","Ren","yes",3,"1.26","0.12","2.50"
"27","A","Rei","yes",1,"1.62","-0.13","2.37"
"28","H","Lor","yes",1,"2.35","-0.64","1.73"
"29","A","Nim","yes",1,"2.07","-0.44","1.29"
"30","H","Bor","yes",3,"1.77","-0.23","1.06"
"31","A","Ang","yes",1,"1.69","-0.18","0.88"
"32","H","Mar","yes",1,"1.39","0.03","0.91"
"33","A","Lil","yes",1,"0.87","0.39","1.30"
"34","A","Nic","yes",0,"1.50","-0.05","1.26"
"35","H","StE","no",NA,"1.60","-0.12","1.14"
"36","A","Str","no",NA,"1.81","-0.26","0.88"
"37","H","Bre","no",NA,"2.16","-0.51","0.37"
"38","A","Nan","no",NA,"1.97","-0.37","-0.00"
