"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Lor","yes",0,"1.01","0.09","0.09"
"2","H","Nic","yes",0,"0.90","0.19","0.27"
"3","A","StE","yes",0,"1.49","-0.35","-0.08"
"4","H","Dij","yes",3,"1.82","-0.65","-0.73"
"5","A","Mco","yes",0,"0.49","0.55","-0.18"
"6","H","Lil","yes",0,"0.30","0.72","0.54"
"7","H","Lyo","yes",0,"0.49","0.56","1.10"
"8","A","Bre","yes",3,"0.93","0.15","1.25"
"9","A","Rei","yes",0,"1.43","-0.30","0.96"
"10","H","Mar","yes",0,"0.89","0.19","1.15"
"11","A","Mtp","yes",0,"1.12","-0.02","1.13"
"12","H","Ren","yes",1,"0.78","0.29","1.43"
"13","A","Nan","yes",3,"1.80","-0.63","0.80"
"14","H","Mtz","yes",1,"0.85","0.23","1.03"
"15","A","Ang","yes",3,"1.54","-0.40","0.63"
"16","H","Bor","yes",0,"1.24","-0.13","0.51"
"17","A","PSG","yes",0,"0.68","0.38","0.89"
"18","H","Nim","yes",3,"1.19","-0.08","0.81"
"19","A","Len","yes",3,"1.10","0.00","0.81"
"20","H","StE","yes",3,"1.08","0.02","0.83"
"21","A","Dij","yes",1,"2.13","-0.93","-0.10"
"22","H","Rei","yes",0,"1.04","0.06","-0.04"
"23","H","Bre","yes",1,"1.69","-0.53","-0.57"
"24","A","Lyo","yes",0,"0.62","0.44","-0.14"
"25","A","Mtz","yes",3,"1.48","-0.35","-0.48"
"26","H","Ang","yes",1,"0.97","0.12","-0.36"
"27","A","Lil","yes",1,"0.72","0.35","-0.01"
"28","H","Mco","yes",3,"0.52","0.53","0.52"
"29","A","Ren","yes",0,"1.04","0.06","0.58"
"30","H","Len","yes",0,"0.67","0.39","0.97"
"31","A","Bor","yes",3,"1.50","-0.36","0.61"
"32","H","PSG","yes",0,"0.34","0.69","1.30"
"33","A","Nim","yes",1,"1.91","-0.73","0.57"
"34","H","Nan","yes",0,"1.23","-0.11","0.46"
"35","A","Mar","no",NA,"0.77","0.30","0.76"
"36","H","Mtp","no",NA,"0.90","0.19","0.94"
"37","A","Nic","no",NA,"1.31","-0.19","0.76"
"38","H","Lor","no",NA,"1.94","-0.76","0.00"
