"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"RMa","Real Madrid",38,49,86,1,1,38,2.26
"Bar","Barcelona",37,32,73,2,2,36.9,1.98
"Atl","Atlético Madrid",37,21,68,3,3,37.3,1.82
"Sev","Sevilla",37,22,67,4,4,36.8,1.82
"Bet","Real Betis",38,22,65,5,5,38,1.71
"RSo","Real Sociedad",37,4,62,6,6,37,1.67
"Vil","Villarreal",37,24,56,7,7,37.5,1.49
"Bil","Athletic Bilbao",37,8,55,8,8,37.5,1.47
"Osa","Osasuna",37,-12,47,10,9,36.6,1.28
"Val","Valencia",38,-5,48,9,10,38,1.26
"Cel","Celta Vigo",38,0,46,11,11,38,1.21
"Ray","Rayo Vallecano",38,-11,42,12,12,38,1.11
"Elc","Elche",38,-12,42,13,13,38,1.11
"Esp","Espanyol",37,-13,41,14,14,37.3,1.1
"Get","Getafe",38,-8,39,15,15,38,1.03
"Gra","Granada",37,-17,37,16,16,36.3,1.02
"Cad","Cádiz CF",37,-17,36,18,17,36.8,0.98
"Mal","Mallorca",37,-29,36,17,18,37.2,0.97
"Lev","Levante",38,-25,35,19,19,38,0.92
"Ala","Alavés",37,-33,31,20,20,36.4,0.85
