"team","teamId","playedGames","goalDifference","points","rank"
"Liverpool FC",64,38,52,99,1
"Manchester City FC",65,38,67,81,2
"Manchester United FC",66,38,30,66,3
"Chelsea FC",61,38,15,66,4
"Leicester City FC",338,38,26,62,5
"Tottenham Hotspur FC",73,38,14,59,6
"Wolverhampton Wanderers",76,38,11,59,7
"Arsenal FC",57,38,8,56,8
"Sheffield United FC",356,38,0,54,9
"Burnley FC",328,38,-7,54,10
"Southampton FC",340,38,-9,52,11
"Everton FC",62,38,-12,49,12
"Newcastle United FC",67,38,-20,44,13
"Crystal Palace FC",354,38,-19,43,14
"Brighton & Hove Albion",397,38,-15,41,15
"West Ham United FC",563,38,-13,39,16
"Aston Villa FC",58,38,-26,35,17
"AFC Bournemouth",1044,38,-25,34,18
"Watford FC",346,38,-28,34,19
"Norwich City FC",68,38,-49,21,20
