"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Liv","Liverpool",38,52,99,1,1,38,2.61
"MnC","Manchester City",38,67,81,2,2,38,2.13
"MnU","Manchester United",38,30,66,3,3,38,1.74
"Che","Chelsea",38,15,66,4,4,38,1.74
"Lei","Leicester City",38,26,62,5,5,38,1.63
"Tot","Tottenham Hotspur",38,14,59,6,6,38,1.55
"Wol","Wolverhampton Wanderers",38,11,59,7,7,38,1.55
"Ars","Arsenal",38,8,56,8,8,38,1.47
"ShU","Sheffield United",38,0,54,9,9,38,1.42
"Bur","Burnley",38,-7,54,10,10,38,1.42
"Sot","Southampton",38,-9,52,11,11,38,1.37
"Eve","Everton",38,-12,49,12,12,38,1.29
"New","Newcastle United",38,-20,44,13,13,38,1.16
"Pal","Crystal Palace",38,-19,43,14,14,38,1.13
"BHA","Brighton & Hove Albion",38,-15,41,15,15,38,1.08
"WHU","West Ham United",38,-13,39,16,16,38,1.03
"Ast","Aston Villa",38,-26,35,17,17,38,0.92
"Bou","Bournemouth",38,-25,34,18,18,38,0.89
"Wat","Watford",38,-28,34,19,19,38,0.89
"Nor","Norwich City",38,-49,21,20,20,38,0.55
