fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
77,Athletic Club,Athletic,Bil,NA,Athletic Club,0
78,Club Atlético de Madrid,Atleti,Atl,NA,Atlético Madrid,0
79,CA Osasuna,Osasuna,Osa,NA,Osasuna,0
80,RCD Espanyol de Barcelona,Espanyol,Esp,NA,Espanyol,0
81,FC Barcelona,Barça,FCB,NA,Barcelona,0
82,Getafe CF,Getafe,Get,NA,Getafe,0
86,Real Madrid CF,Real Madrid,Rma,NA,Real Madrid,0
87,Rayo Vallecano de Madrid,Rayo Vallecano,Ray,NA,Rayo Vallecano,0
89,RCD Mallorca,Mallorca,Mal,NA,Mallorca,0
90,Real Betis Balompié,Real Betis,Bet,NA,Real Betis,0
92,Real Sociedad de Fútbol,Real Sociedad,Rso,NA,Real Sociedad,0
94,Villarreal CF,Villarreal,Vil,NA,Villarreal,0
95,Valencia CF,Valencia,Val,NA,Valencia,0
250,Real Valladolid CF,Valladolid,Rva,NA,Real Valladolid,0
263,Deportivo Alavés,Alavés,Ala,NA,Cádiz,0
275,UD Las Palmas,Las Palmas,Lpa,NA,Las Palmas,0
298,Girona FC,Girona,Gir,NA,Girona,0
558,RC Celta de Vigo,Celta,Cel,NA,Celta de Vigo,0
559,Sevilla FC,Sevilla FC,Sev,NA,Sevilla,0
745,CD Leganés,Leganés,Leg,NA,Leganés,0
