"team","teamId","playedGames","goalDifference","points","rank"
"FC Barcelona",81,38,63,88,1
"Real Madrid CF",86,38,40,84,2
"Club Atlético de Madrid",78,38,38,76,3
"Athletic Club",77,38,25,70,4
"Villarreal CF",94,38,20,70,5
"Real Betis Balompié",90,38,7,60,6
"RC Celta de Vigo",558,38,2,55,7
"Rayo Vallecano de Madrid",87,38,-4,52,8
"CA Osasuna",79,38,-4,52,9
"RCD Mallorca",89,38,-9,48,10
"Real Sociedad de Fútbol",92,38,-11,46,11
"Valencia CF",95,38,-10,46,12
"Getafe CF",82,38,-5,42,13
"RCD Espanyol de Barcelona",80,38,-11,42,14
"Deportivo Alavés",263,38,-10,42,15
"Girona FC",298,38,-16,41,16
"Sevilla FC",559,38,-13,41,17
"CD Leganés",745,38,-17,40,18
"UD Las Palmas",275,38,-21,32,19
"Real Valladolid CF",250,38,-64,16,20
