"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"FCB","Barça",38,63,88,1,1,38,2.32
"RMa","Real Madrid",38,40,84,2,2,38,2.21
"Atl","Atleti",38,38,76,3,3,38,2
"Ath","Athletic",38,25,70,4,4,38,1.84
"Vil","Villarreal",38,20,70,5,5,38,1.84
"Bet","Real Betis",38,7,60,6,6,38,1.58
"Cel","Celta Vigo",38,2,55,7,7,38,1.45
"Ray","Rayo Vallecano",38,-4,52,8,8,38,1.37
"Osa","Osasuna",38,-4,52,9,9,38,1.37
"Mal","Mallorca",38,-9,48,10,10,38,1.26
"RSo","Real Sociedad",38,-11,46,11,11,38,1.21
"Val","Valencia",38,-10,46,12,12,38,1.21
"Get","Getafe",38,-5,42,13,13,38,1.11
"Esp","Espanyol",38,-11,42,14,14,38,1.11
"Ala","Alavés",38,-10,42,15,15,38,1.11
"Gir","Girona",38,-16,41,16,16,38,1.08
"Sev","Sevilla FC",38,-13,41,17,17,38,1.08
"Leg","Leganés",38,-17,40,18,18,38,1.05
"Lpa","Las Palmas",38,-21,32,19,19,38,0.84
"RVa","Valladolid",38,-64,16,20,20,38,0.42
