"team","teamId","playedGames","goalDifference","points","rank"
"OGC de Nice Côte d'Azur",522,2,3,6,1
"FC Girondins de Bordeaux",526,2,2,4,2
"AS Monaco FC",548,2,1,4,3
"Stade Rennais FC 1901",529,2,1,4,4
"Lille OSC",521,2,1,4,5
"FC Nantes",543,2,1,4,6
"Nîmes Olympique",556,2,3,3,7
"Olympique Lyonnais",523,1,3,3,8
"AS Saint-Étienne",527,1,2,3,9
"Olympique de Marseille",516,1,1,3,10
NA,NA,2,0,3,11
NA,NA,2,0,3,12
"Angers SCO",532,2,-1,3,13
"Stade de Reims",547,2,-1,1,14
"Montpellier HSC",518,1,-1,0,15
"FC Metz",545,1,-1,0,16
"Paris Saint-Germain FC",524,1,-1,0,17
"Dijon Football Côte d'Or",528,2,-4,0,18
"RC Strasbourg Alsace",576,2,-4,0,19
"Stade Brestois 29",512,2,-5,0,20
