"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date"
1,"AS Monaco FC",548,"Olympique Lyonnais",523,NA,NA,NA,"2019-08-09"
1,"Olympique de Marseille",516,"Stade de Reims",547,NA,NA,NA,"2019-08-10"
1,"Montpellier HSC",518,"Stade Rennais FC 1901",529,NA,NA,NA,"2019-08-10"
1,"OGC de Nice Côte d'Azur",522,"Amiens SC",530,NA,NA,NA,"2019-08-10"
1,"Stade Brestois 29",512,"Toulouse FC",511,NA,NA,NA,"2019-08-10"
1,"Angers SCO",532,"FC Girondins de Bordeaux",526,NA,NA,NA,"2019-08-10"
1,"Dijon Football Côte d'Or",528,"AS Saint-Étienne",527,NA,NA,NA,"2019-08-10"
1,"Lille OSC",521,"FC Nantes",543,NA,NA,NA,"2019-08-11"
1,"RC Strasbourg Alsace",576,"FC Metz",545,NA,NA,NA,"2019-08-11"
1,"Paris Saint-Germain FC",524,"Nîmes Olympique",556,NA,NA,NA,"2019-08-11"
2,"Olympique Lyonnais",523,"Angers SCO",532,NA,NA,NA,"2019-08-16"
2,"FC Nantes",543,"Olympique de Marseille",516,NA,NA,NA,"2019-08-17"
2,"FC Girondins de Bordeaux",526,"Montpellier HSC",518,NA,NA,NA,"2019-08-17"
2,"Toulouse FC",511,"Dijon Football Côte d'Or",528,NA,NA,NA,"2019-08-17"
2,"Nîmes Olympique",556,"OGC de Nice Côte d'Azur",522,NA,NA,NA,"2019-08-17"
2,"FC Metz",545,"AS Monaco FC",548,NA,NA,NA,"2019-08-17"
2,"Amiens SC",530,"Lille OSC",521,NA,NA,NA,"2019-08-17"
2,"AS Saint-Étienne",527,"Stade Brestois 29",512,NA,NA,NA,"2019-08-18"
2,"Stade de Reims",547,"RC Strasbourg Alsace",576,NA,NA,NA,"2019-08-18"
2,"Stade Rennais FC 1901",529,"Paris Saint-Germain FC",524,NA,NA,NA,"2019-08-18"
3,"Montpellier HSC",518,"Olympique Lyonnais",523,NA,NA,NA,"2019-08-24"
3,"Lille OSC",521,"AS Saint-Étienne",527,NA,NA,NA,"2019-08-24"
3,"OGC de Nice Côte d'Azur",522,"Olympique de Marseille",516,NA,NA,NA,"2019-08-24"
3,"Stade Brestois 29",512,"Stade de Reims",547,NA,NA,NA,"2019-08-24"
3,"Angers SCO",532,"FC Metz",545,NA,NA,NA,"2019-08-24"
3,"AS Monaco FC",548,"Nîmes Olympique",556,NA,NA,NA,"2019-08-24"
3,"Dijon Football Côte d'Or",528,"FC Girondins de Bordeaux",526,NA,NA,NA,"2019-08-24"
3,"RC Strasbourg Alsace",576,"Stade Rennais FC 1901",529,NA,NA,NA,"2019-08-24"
3,"Amiens SC",530,"FC Nantes",543,NA,NA,NA,"2019-08-24"
3,"Paris Saint-Germain FC",524,"Toulouse FC",511,NA,NA,NA,"2019-08-25"
4,"Olympique Lyonnais",523,"FC Girondins de Bordeaux",526,NA,NA,NA,"2019-08-31"
4,"Stade Rennais FC 1901",529,"OGC de Nice Côte d'Azur",522,NA,NA,NA,"2019-08-31"
4,"Toulouse FC",511,"Amiens SC",530,NA,NA,NA,"2019-08-31"
4,"Olympique de Marseille",516,"AS Saint-Étienne",527,NA,NA,NA,"2019-08-31"
4,"Stade de Reims",547,"Lille OSC",521,NA,NA,NA,"2019-08-31"
4,"Angers SCO",532,"Dijon Football Côte d'Or",528,NA,NA,NA,"2019-08-31"
4,"FC Nantes",543,"Montpellier HSC",518,NA,NA,NA,"2019-08-31"
4,"Nîmes Olympique",556,"Stade Brestois 29",512,NA,NA,NA,"2019-08-31"
4,"FC Metz",545,"Paris Saint-Germain FC",524,NA,NA,NA,"2019-08-31"
4,"RC Strasbourg Alsace",576,"AS Monaco FC",548,NA,NA,NA,"2019-08-31"
5,"Montpellier HSC",518,"OGC de Nice Côte d'Azur",522,NA,NA,NA,"2019-09-14"
5,"Paris Saint-Germain FC",524,"RC Strasbourg Alsace",576,NA,NA,NA,"2019-09-14"
5,"Lille OSC",521,"Angers SCO",532,NA,NA,NA,"2019-09-14"
5,"FC Girondins de Bordeaux",526,"FC Metz",545,NA,NA,NA,"2019-09-14"
5,"AS Saint-Étienne",527,"Toulouse FC",511,NA,NA,NA,"2019-09-14"
5,"Stade Brestois 29",512,"Stade Rennais FC 1901",529,NA,NA,NA,"2019-09-14"
5,"FC Nantes",543,"Stade de Reims",547,NA,NA,NA,"2019-09-14"
5,"AS Monaco FC",548,"Olympique de Marseille",516,NA,NA,NA,"2019-09-14"
5,"Dijon Football Côte d'Or",528,"Nîmes Olympique",556,NA,NA,NA,"2019-09-14"
5,"Amiens SC",530,"Olympique Lyonnais",523,NA,NA,NA,"2019-09-14"
6,"Olympique Lyonnais",523,"Paris Saint-Germain FC",524,NA,NA,NA,"2019-09-21"
6,"FC Girondins de Bordeaux",526,"Stade Brestois 29",512,NA,NA,NA,"2019-09-21"
6,"Stade Rennais FC 1901",529,"Lille OSC",521,NA,NA,NA,"2019-09-21"
6,"Olympique de Marseille",516,"Montpellier HSC",518,NA,NA,NA,"2019-09-21"
6,"OGC de Nice Côte d'Azur",522,"Dijon Football Côte d'Or",528,NA,NA,NA,"2019-09-21"
6,"Stade de Reims",547,"AS Monaco FC",548,NA,NA,NA,"2019-09-21"
6,"Angers SCO",532,"AS Saint-Étienne",527,NA,NA,NA,"2019-09-21"
6,"Nîmes Olympique",556,"Toulouse FC",511,NA,NA,NA,"2019-09-21"
6,"FC Metz",545,"Amiens SC",530,NA,NA,NA,"2019-09-21"
6,"RC Strasbourg Alsace",576,"FC Nantes",543,NA,NA,NA,"2019-09-21"
7,"Montpellier HSC",518,"Nîmes Olympique",556,NA,NA,NA,"2019-09-25"
7,"Paris Saint-Germain FC",524,"Stade de Reims",547,NA,NA,NA,"2019-09-25"
7,"Lille OSC",521,"RC Strasbourg Alsace",576,NA,NA,NA,"2019-09-25"
7,"AS Saint-Étienne",527,"FC Metz",545,NA,NA,NA,"2019-09-25"
7,"Toulouse FC",511,"Angers SCO",532,NA,NA,NA,"2019-09-25"
7,"Stade Brestois 29",512,"Olympique Lyonnais",523,NA,NA,NA,"2019-09-25"
7,"FC Nantes",543,"Stade Rennais FC 1901",529,NA,NA,NA,"2019-09-25"
7,"AS Monaco FC",548,"OGC de Nice Côte d'Azur",522,NA,NA,NA,"2019-09-25"
