fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
511,Toulouse FC,Toulouse,Tou,Toulouse,Toulouse
512,Stade Brestois 29,Brest,Bre,Brest,Brest
516,Olympique de Marseille,Marseille,Mar,Marseille,Marseille
518,Montpellier HSC,Montpellier,Mtp,Montpellier,Montpellier
521,Lille OSC,Lille,Lil,Lille,Lille
522,OGC de Nice Côte d'Azur,Nice,Nic,Nice,Nice
523,Olympique Lyonnais,Lyon,Lyo,Lyon,Lyon
524,Paris Saint-Germain FC,PSG,PSG,Paris Saint-Germain,PSG
526,FC Girondins de Bordeaux,Bordeaux,Bor,Bordeaux,Bordeaux
527,AS Saint-Étienne,Saint-Étienne,StE,Saint Etienne,Saint-Étienne
528,Dijon Football Côte d'Or,Dijon,Dij,Dijon,Dijon
529,Stade Rennais FC 1901,Rennes,Ren,Rennes,Rennes
530,Amiens SC,Amiens,Ami,Amiens,Amiens
532,Angers SCO,Angers,Ang,Angers,Angers
543,FC Nantes,Nantes,Nan,Nantes,Nantes
545,FC Metz,Metz,Mtz,Metz,Metz
547,Stade de Reims,Reims,Rei,Reims,Reims
548,AS Monaco FC,Monaco,Mco,Monaco,Monaco
556,Nîmes Olympique,Nîmes,Nim,Nimes,Nîmes
576,RC Strasbourg Alsace,Strasbourg,Str,Strasbourg,Strasbourg
