"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSG","PSG",27,51,68,1,1,27,2.51
"Mar","Marseille",28,12,56,2,2,28.5,1.97
"Ren","Rennes",28,14,50,3,3,28,1.79
"Lil","Lille",28,8,49,4,4,27.6,1.78
"Rei","Reims",28,5,41,5,5,28.6,1.44
"Lyo","Lyon",28,15,40,7,6,27.9,1.44
"Mtp","Montpellier",28,1,40,8,7,27.7,1.44
"Mco","Monaco",28,0,40,9,8,28,1.43
"Nic","Nice",28,3,41,6,9,28.8,1.42
"Ang","Angers",28,-5,39,10,10,28.1,1.39
"Str","Strasbourg",27,0,38,11,11,27.6,1.38
"Nan","Nantes",28,-3,37,13,12,26.8,1.38
"Bor","Bordeaux",28,6,37,12,13,27.1,1.36
"Mtz","Metz",28,-8,34,15,14,28.5,1.19
"Bre","Brest",28,-3,34,14,15,29.2,1.16
"StE","Saint-Étienne",28,-16,30,17,16,27.8,1.08
"Dij","Dijon",28,-10,30,16,17,28.1,1.07
"Nim","Nîmes",28,-15,27,18,18,27.9,0.97
"Ami","Amiens",28,-19,23,19,19,27.9,0.82
"Tou","Toulouse",28,-36,13,20,20,27.4,0.47
