"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSG","PSG",34,57,84,1,1,34,2.47
"Mar","Marseille",34,27,65,2,2,34,1.91
"Mco","Monaco",34,22,61,3,3,34,1.79
"Nic","Nice",34,25,60,4,4,34,1.76
"Lil","Lille",34,16,60,5,5,34,1.76
"Lyo","Lyon",34,19,57,6,6,34,1.68
"Str","Strasbourg",34,12,57,7,7,34,1.68
"Len","Lens",34,3,52,8,8,34,1.53
"Bre","Brest",34,-7,50,9,9,34,1.47
"Tou","Toulouse",34,1,42,10,10,34,1.24
"Aux","Auxerre",34,-3,42,11,11,34,1.24
"Ren","Rennes",34,1,41,12,12,34,1.21
"Nan","Nantes",34,-13,36,13,13,34,1.06
"Ang","Angers",34,-21,36,14,14,34,1.06
"Hav","Le Havre",34,-31,34,15,15,34,1
"Rei","Reims",34,-14,33,16,16,34,0.97
"StE","Saint-Étienne",34,-38,30,17,17,34,0.88
"Mtp","Montpellier",34,-56,16,18,18,34,0.47
