"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Mun","Bayern Munich",34,60,77,1,1,34,2.26
"Dor","Borussia Dortmund",34,33,69,2,2,34,2.03
"Lev","Bayer Leverkusen",34,33,64,3,3,34,1.88
"Lei","RB Leipzig",34,35,58,4,4,34,1.71
"UnB","Union Berlin",34,6,57,5,5,34,1.68
"Fbg","Freiburg",34,12,55,6,6,34,1.62
"Kln","Köln",34,3,52,7,7,34,1.53
"Mai","Mainz",34,5,46,8,8,34,1.35
"Hof","Hoffenheim",34,-2,46,9,9,34,1.35
"BMg","Borussia M'gladbach",34,-7,45,10,10,34,1.32
"Fra","Eintracht Frankfurt",34,-4,42,11,11,34,1.24
"Wol","Wolfsburg",34,-11,42,12,12,34,1.24
"Boc","Bochum",34,-14,42,13,13,34,1.24
"Aug","Augsburg",34,-17,38,14,14,34,1.12
"Stu","Stuttgart",34,-18,33,15,15,34,0.97
"Her","Hertha Berlin",34,-34,33,16,16,34,0.97
"Bie","Bielefeld",34,-26,28,17,17,34,0.82
"Fur","Greuther Fürth",34,-54,18,18,18,34,0.53
