"team","teamId","playedGames","goalDifference","points","rank"
"FC Bayern München",5,34,60,77,1
"Borussia Dortmund",4,34,33,69,2
"Bayer 04 Leverkusen",3,34,33,64,3
"RB Leipzig",721,34,35,58,4
"1. FC Union Berlin",28,34,6,57,5
"SC Freiburg",17,34,12,55,6
"1. FC Köln",1,34,3,52,7
"1. FSV Mainz 05",15,34,5,46,8
"TSG 1899 Hoffenheim",2,34,-2,46,9
"Borussia Mönchengladbach",18,34,-7,45,10
"Eintracht Frankfurt",19,34,-4,42,11
"VfL Wolfsburg",11,34,-11,42,12
"VfL Bochum 1848",36,34,-14,42,13
"FC Augsburg",16,34,-17,38,14
"VfB Stuttgart",10,34,-18,33,15
"Hertha BSC",9,34,-34,33,16
"Arminia Bielefeld",38,34,-26,28,17
"SpVgg Greuther Fürth 1903",21,34,-54,18,18
