"team","teamId","playedGames","goalDifference","points","rank"
"FC Barcelona",81,16,31,37,1
"Real Madrid CF",86,15,18,33,2
"Club Atlético de Madrid",78,15,18,32,3
"Athletic Club",77,16,9,29,4
"Villarreal CF",94,14,4,26,5
"RCD Mallorca",89,17,-4,24,6
"CA Osasuna",79,15,-3,23,7
"Girona FC",298,15,2,22,8
"Real Sociedad de Fútbol",92,15,2,21,9
NA,NA,16,-2,21,10
"Real Betis Balompié",90,15,-2,20,11
"Sevilla FC",559,15,-5,19,12
"Rayo Vallecano de Madrid",87,14,-2,16,13
"UD Las Palmas",275,15,-6,15,14
NA,NA,15,-6,15,15
"Deportivo Alavés",263,15,-9,14,16
"Getafe CF",82,15,-3,13,17
NA,NA,14,-12,13,18
"Valencia CF",95,13,-8,10,19
NA,NA,15,-22,9,20
