"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"RMa","Real Madrid",38,61,95,1,1,38,2.5
"Bar","Barcelona",38,35,85,2,2,38,2.24
"Gir","Girona",38,39,81,3,3,38,2.13
"Atl","Atlético Madrid",38,27,76,4,4,38,2
"Bil","Athletic Bilbao",38,24,68,5,5,38,1.79
"RSo","Real Sociedad",38,12,60,6,6,38,1.58
"Bet","Real Betis",38,3,57,7,7,38,1.5
"Vil","Villarreal",38,0,53,8,8,38,1.39
"Val","Valencia",38,-5,49,9,9,38,1.29
"Ala","Alavés",38,-10,46,10,10,38,1.21
"Osa","Osasuna",38,-11,45,11,11,38,1.18
"Get","Getafe",38,-12,43,12,12,38,1.13
"Cel","Celta Vigo",38,-11,41,13,13,38,1.08
"Sev","Sevilla",38,-6,41,14,14,38,1.08
"Mal","Mallorca",38,-11,40,15,15,38,1.05
"Lpa","Las Palmas",38,-14,40,16,16,38,1.05
"Ray","Rayo Vallecano",38,-19,38,17,17,38,1
"Cad","Cádiz CF",38,-29,33,18,18,38,0.87
"Alm","Almería",38,-32,21,19,19,38,0.55
"Gra","Granada",38,-41,21,20,20,38,0.55
