"","HA","vs","played","sched","cumulative"
"1","H","Lyo","yes","-0.20","-0.20"
"2","A","Mtz","yes","0.05","-0.15"
"3","H","Nim","yes","-0.45","-0.60"
"4","A","Str","yes","0.27","-0.33"
"5","H","Mar","yes","0.24","-0.09"
"6","A","Rei","yes","0.19","0.10"
"7","H","Nic","yes","-0.22","-0.12"
"8","H","Bre","yes","-0.32","-0.44"
"9","A","Mtp","yes","0.31","-0.13"
"10","H","Ren","yes","0.05","-0.08"
"11","A","Nan","yes","0.25","0.17"
"12","A","StE","yes","0.08","0.25"
"13","H","Dij","yes","-0.41","-0.16"
"14","A","Bor","yes","0.27","0.11"
"15","A","Tou","yes","-0.43","-0.32"
"16","H","Ami","yes","-0.55","-0.86"
"17","A","Ang","yes","0.13","-0.73"
"18","H","Lil","yes","0.02","-0.71"
"19","A","PSG","yes","0.84","0.13"
"20","H","PSG","yes","0.65","0.78"
"21","H","Str","yes","-0.15","0.63"
"22","A","Nim","yes","-0.08","0.55"
"23","H","Ang","yes","-0.28","0.27"
"24","A","Ami","yes","-0.21","0.06"
"25","H","Mtp","no","-0.11","-0.06"
"26","A","Dij","no","-0.02","-0.07"
"27","H","Rei","no","-0.23","-0.31"
"28","A","Nic","no","0.21","-0.10"
"29","H","StE","no","-0.33","-0.43"
"30","A","Lil","no","0.43","-0.00"
"31","H","Nan","no","-0.18","-0.18"
"32","A","Bre","no","0.09","-0.09"
"33","H","Bor","no","-0.16","-0.24"
"34","A","Lyo","no","0.22","-0.02"
"35","H","Mtz","no","-0.35","-0.37"
"36","A","Mar","no","0.60","0.23"
"37","H","Tou","no","-0.68","-0.46"
"38","A","Ren","no","0.46","-0.00"
