"","HA","vs","played","sched","cumulative"
"1","A","Nic","yes","0.29","0.29"
"2","H","Lil","yes","0.05","0.34"
"3","H","Nan","yes","-0.15","0.19"
"4","A","Tou","yes","-0.77","-0.58"
"5","H","Lyo","yes","-0.20","-0.78"
"6","A","Mtz","yes","0.04","-0.73"
"7","H","Bor","yes","-0.22","-0.95"
"8","A","Ang","yes","0.20","-0.75"
"9","H","Mar","yes","0.36","-0.39"
"10","A","Nim","yes","-0.06","-0.45"
"11","A","StE","yes","0.07","-0.38"
"12","H","Bre","yes","-0.38","-0.77"
"13","A","Ren","yes","0.53","-0.24"
"14","H","Str","yes","-0.21","-0.45"
"15","A","Mtp","yes","0.32","-0.12"
"16","A","Mco","yes","0.38","0.26"
"17","H","Dij","yes","-0.61","-0.36"
"18","A","PSG","yes","0.86","0.50"
"19","H","Mtp","yes","-0.20","0.30"
"20","H","Rei","yes","-0.23","0.06"
"21","A","Bre","yes","0.19","0.25"
"22","H","Tou","yes","-1.34","-1.09"
"23","A","Lyo","yes","0.33","-0.76"
"24","H","Mco","yes","-0.13","-0.89"
"25","H","PSG","yes","0.70","-0.18"
"26","A","Str","yes","0.32","0.14"
"27","H","Mtz","no","-0.56","-0.43"
"28","A","Mar","no","0.68","0.25"
"29","H","Ang","no","-0.37","-0.12"
"30","A","Dij","no","-0.00","-0.12"
"31","H","Ren","no","0.10","-0.02"
"32","A","Bor","no","0.32","0.30"
"33","H","Nim","no","-0.68","-0.38"
"34","A","Nan","no","0.37","-0.02"
"35","H","StE","no","-0.53","-0.55"
"36","A","Rei","no","0.30","-0.24"
"37","A","Lil","no","0.50","0.25"
"38","H","Nic","no","-0.25","0.00"
