"","HA","vs","played","sched","cumulative"
"1","H","Nan","yes","-0.15","-0.15"
"2","A","Ami","yes","-0.15","-0.30"
"3","H","StE","yes","-0.29","-0.59"
"4","A","Rei","yes","0.19","-0.41"
"5","H","Ang","yes","-0.19","-0.60"
"6","A","Ren","yes","0.39","-0.20"
"7","H","Str","yes","-0.17","-0.37"
"8","A","Nic","yes","0.17","-0.19"
"9","H","Nim","yes","-0.33","-0.53"
"10","A","Tou","yes","-0.35","-0.88"
"11","H","Bor","yes","-0.17","-1.05"
"12","A","Mar","yes","0.52","-0.53"
"13","H","Mtz","yes","-0.27","-0.80"
"14","A","PSG","yes","0.79","-0.01"
"15","H","Dij","yes","-0.31","-0.32"
"16","A","Lyo","yes","0.23","-0.09"
"17","H","Bre","yes","-0.25","-0.34"
"18","H","Mtp","yes","-0.12","-0.46"
"19","A","Mco","yes","0.23","-0.24"
"20","A","Dij","yes","-0.02","-0.26"
"21","H","PSG","yes","0.56","0.30"
"22","A","Str","yes","0.18","0.48"
"23","H","Ren","yes","0.03","0.51"
"24","A","Ang","yes","0.15","0.66"
"25","H","Mar","yes","0.16","0.82"
"26","H","Tou","yes","-0.51","0.31"
"27","A","Nan","yes","0.20","0.51"
"28","H","Lyo","no","-0.13","0.38"
"29","A","Bre","no","0.06","0.45"
"30","H","Mco","no","-0.12","0.32"
"31","A","Mtp","no","0.23","0.55"
"32","A","Mtz","no","0.04","0.60"
"33","H","Nic","no","-0.17","0.43"
"34","A","Nim","no","-0.05","0.37"
"35","H","Rei","no","-0.16","0.21"
"36","A","StE","no","0.01","0.22"
"37","H","Ami","no","-0.40","-0.18"
"38","A","Bor","no","0.18","-0.00"
