"","HA","vs","played","sched","cumulative"
"1","A","Mar","yes","0.58","0.58"
"2","H","Str","yes","-0.20","0.37"
"3","A","Bre","yes","0.07","0.44"
"4","H","Lil","yes","0.04","0.49"
"5","A","Nan","yes","0.22","0.71"
"6","H","Mco","yes","-0.17","0.54"
"7","A","PSG","yes","0.83","1.37"
"8","H","Dij","yes","-0.40","0.97"
"9","A","Ren","yes","0.46","1.43"
"10","H","Mtp","yes","-0.14","1.29"
"11","H","Nim","yes","-0.46","0.83"
"12","A","Nic","yes","0.25","1.08"
"13","H","Ang","yes","-0.20","0.88"
"14","A","Mtz","yes","0.09","0.98"
"15","H","Bor","yes","-0.20","0.77"
"16","H","StE","yes","-0.38","0.39"
"17","A","Tou","yes","-0.50","-0.11"
"18","H","Lyo","yes","-0.14","-0.25"
"19","A","Nim","yes","-0.08","-0.33"
"20","A","Ami","yes","-0.20","-0.53"
"21","H","Mtz","yes","-0.32","-0.85"
"22","A","Ang","yes","0.23","-0.62"
"23","H","Nic","yes","-0.17","-0.80"
"24","A","Str","yes","0.22","-0.57"
"25","H","Ren","yes","0.05","-0.52"
"26","A","StE","yes","0.02","-0.50"
"27","A","Mco","yes","0.26","-0.25"
"28","H","Bre","yes","-0.34","-0.59"
"29","A","Lyo","no","0.28","-0.31"
"30","H","Nan","no","-0.20","-0.51"
"31","A","Bor","no","0.22","-0.29"
"32","H","Tou","no","-0.74","-1.03"
"33","A","Mtp","no","0.29","-0.74"
"34","H","PSG","no","0.63","-0.11"
"35","A","Lil","no","0.45","0.34"
"36","H","Ami","no","-0.54","-0.21"
"37","A","Dij","no","-0.00","-0.21"
"38","H","Mar","no","0.21","0.00"
