"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Bir","yes",0,-1,"1.55","-0.13","-0.13"
"2","A","Swa","yes",1,0,"1.35","0.01","-0.11"
"3","A","WBA","yes",0,-4,"0.81","0.41","0.30"
"4","H","Hud","yes",0,-1,"1.35","0.02","0.32"
"5","A","Lut","yes",1,0,"1.28","0.07","0.39"
"6","H","Pet","yes",3,4,"2.28","-0.66","-0.27"
"7","H","PNE","yes",1,0,"1.60","-0.17","-0.44"
"8","A","Hul","yes",3,2,"1.67","-0.21","-0.65"
"9","H","Der","yes",3,1,"1.73","-0.26","-0.91"
"10","A","Mid","yes",0,-2,"1.12","0.19","-0.72"
"11","A","Bou","yes",0,-1,"1.12","0.19","-0.54"
"12","H","Sto","yes",3,1,"1.19","0.13","-0.40"
"13","H","Mil","yes",0,-1,"1.62","-0.18","-0.58"
"14","A","Bar","yes",3,1,"1.90","-0.38","-0.96"
"15","H","Bpl","yes",0,-1,"1.50","-0.09","-1.05"
"16","A","Not","yes",1,0,"1.56","-0.13","-1.19"
"17","A","BbR","yes",0,-2,"0.90","0.34","-0.84"
"18","H","Cov","yes",1,0,"1.41","-0.03","-0.87"
"19","A","Rea","yes",3,1,"1.75","-0.27","-1.14"
"20","H","Bri","yes",3,2,"1.50","-0.09","-1.23"
"21","A","Car","yes",3,1,"2.11","-0.54","-1.77"
"22","A","Ful","yes",3,1,"0.86","0.38","-1.39"
"23","A","Der","yes",0,-2,"1.05","0.24","-1.16"
"24","A","PNE","yes",1,0,"1.36","0.01","-1.14"
"25","H","Lut","yes",3,2,"1.35","0.02","-1.12"
"26","A","Pet","no",NA,NA,"1.50","-0.09","-1.22"
"27","A","Bir","no",NA,NA,"1.43","-0.04","-1.25"
"28","H","WBA","no",NA,NA,"1.42","-0.03","-1.28"
"29","A","Hud","no",NA,NA,"1.07","0.22","-1.06"
"30","H","Hul","no",NA,NA,"1.58","-0.15","-1.20"
"31","H","Swa","no",NA,NA,"1.47","-0.07","-1.27"
"32","H","BbR","no",NA,NA,"1.23","0.11","-1.17"
"33","A","Mil","no",NA,NA,"1.22","0.11","-1.05"
"34","H","Not","no",NA,NA,"0.97","0.29","-0.76"
"35","H","Mid","no",NA,NA,"1.29","0.06","-0.70"
"36","A","Cov","no",NA,NA,"1.15","0.16","-0.53"
"37","A","Bpl","no",NA,NA,"1.37","0.01","-0.53"
"38","H","Bar","no",NA,NA,"2.22","-0.62","-1.14"
"39","A","Sto","no",NA,NA,"1.40","-0.02","-1.16"
"40","H","Bou","no",NA,NA,"0.97","0.30","-0.87"
"41","H","Rea","no",NA,NA,"1.46","-0.06","-0.92"
"42","A","Bri","no",NA,NA,"1.46","-0.06","-0.99"
"43","H","Car","no",NA,NA,"1.37","0.00","-0.99"
"44","A","QPR","no",NA,NA,"1.10","0.20","-0.78"
"45","H","Ful","no",NA,NA,"0.73","0.47","-0.32"
"46","H","QPR","no",NA,NA,"0.94","0.32","0.00"
