"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Int","Inter Milan",38,67,94,1,1,38,2.47
"Mil","AC Milan",38,27,75,2,2,38,1.97
"Juv","Juventus",38,23,71,3,3,38,1.87
"Ata","Atalanta",38,30,69,4,4,38,1.82
"Bol","Bologna",38,22,68,5,5,38,1.79
"Rom","Roma",38,19,63,6,6,38,1.66
"Laz","Lazio",38,10,61,7,7,38,1.61
"Fir","Fiorentina",38,15,60,8,8,38,1.58
"Tor","Torino",38,0,53,9,9,38,1.39
"Nap","Napoli",38,7,53,10,10,38,1.39
"Gen","Genoa",38,0,49,11,11,38,1.29
"Mon","Monza",38,-12,45,12,12,38,1.18
"Ver","Verona",38,-13,38,13,13,38,1
"Lec","Lecce",38,-22,38,14,14,38,1
"Udi","Udinese",38,-16,37,15,15,38,0.97
"Cag","Cagliari",38,-26,36,16,16,38,0.95
"Emp","Empoli",38,-25,36,17,17,38,0.95
"Fro","Frosinone",38,-25,35,18,18,38,0.92
"Sas","Sassuolo",38,-32,30,19,19,38,0.79
"Sal","Salernitana",38,-49,17,20,20,38,0.45
