"team","teamId","playedGames","goalDifference","points","rank"
"Atalanta BC",102,15,21,34,1
"SSC Napoli",113,14,12,32,2
NA,NA,14,19,31,3
"ACF Fiorentina",99,13,17,28,4
"SS Lazio",110,14,12,28,5
"Juventus FC",109,14,14,26,6
NA,NA,14,8,22,7
"Bologna FC 1909",103,13,2,21,8
"Udinese Calcio",115,14,-5,17,9
"Empoli FC",445,14,-4,16,10
"Torino FC",586,14,-4,15,11
NA,NA,15,-4,15,12
"Cagliari Calcio",104,14,-9,14,13
"Genoa CFC",107,14,-11,14,14
"AS Roma",100,14,-6,13,15
"US Lecce",5890,14,-15,13,16
"Hellas Verona FC",450,14,-16,12,17
NA,NA,14,-12,11,18
"AC Monza",5911,14,-5,10,19
NA,NA,14,-14,8,20
