fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
59,Blackburn Rovers FC,Blackburn Rovers,Bla,Blackburn Rovers,Blackburn
69,Queens Park Rangers FC,QPR,QPR,Queens Park Rangers,QPR
70,Stoke City FC,Stoke City,Sto,Stoke City,Stoke
72,Swansea City AFC,Swansea City,Swa,Swansea City,Swansea
332,Birmingham City FC,Birmingham City,Bir,Birmingham City,Birmingham
342,Derby County FC,Derby County,Der,Derby County,Derby
343,Middlesbrough FC,Middlesbrough,Mid,Middlesbrough,Middlesbrough
345,Sheffield Wednesday FC,Sheffield Wednesday,ShW,Sheffield Wednesday,Sheff Wed
351,Nottingham Forest FC,Nottingham Forest,Not,Nottingham Forest,Nottm Forest
355,Reading FC,Reading,Rea,Reading,Reading
357,Barnsley FC,Barnsley,Bar,Barnsley,Barnsley
384,Millwall FC,Millwall,Mil,Millwall,Millwall
387,Bristol City FC,Bristol City,Bri,Bristol City,Bristol City
389,Luton Town FC,Luton Town,Lut,Luton Town,Luton
394,Huddersfield Town AFC,Huddersfield Town,Hud,Huddersfield Town,Huddersfield
402,Brentford FC,Brentford,Bre,Brentford,Brentford
715,Cardiff City FC,Cardiff City,Car,Cardiff City,Cardiff
1081,Preston North End FC,Preston NE,PNE,Preston North End,Preston
1044,AFC Bournemouth,Bournemouth,Bou,Bournemouth,Bournemouth
68,Norwich City FC,Norwich City,Nor,Norwich City,Norwich
346,Watford FC,Watford,Wat,Watford,Watford
1076,Coventry City FC,Coventry City,Cov,Coventry,Coventry
385,Rotherham United FC,Rotherham United,Rot,Rotherham,Rotherham
1146,Wycombe Wanderers FC,Wycombe Wanderers,Wyc,Wycombe,Wycombe
