"team","teamId","playedGames","goalDifference","points","rank"
"Norwich City FC",68,46,39,97,1
"Watford FC",346,46,33,91,2
"Brentford FC",402,46,37,87,3
"Swansea City AFC",72,46,17,80,4
"Barnsley FC",357,46,8,78,5
"AFC Bournemouth",1044,46,27,77,6
"Reading FC",355,46,8,70,7
"Cardiff City FC",715,46,17,68,8
"Queens Park Rangers FC",69,46,2,68,9
"Middlesbrough FC",343,46,2,64,10
"Millwall FC",384,46,-5,62,11
"Luton Town FC",389,46,-11,62,12
"Preston North End FC",1081,46,-7,61,13
"Stoke City FC",70,46,-2,60,14
"Blackburn Rovers FC",59,46,11,57,15
"Coventry City FC",1076,46,-12,55,16
"Nottingham Forest FC",351,46,-8,52,17
"Birmingham City FC",332,46,-24,52,18
"Bristol City FC",387,46,-22,51,19
"Huddersfield Town AFC",394,46,-21,49,20
"Derby County FC",342,46,-22,44,21
"Wycombe Wanderers FC",1146,46,-30,43,22
"Rotherham United FC",385,46,-16,42,23
"Sheffield Wednesday FC",345,46,-21,41,24
