"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Nor","Norwich City",46,39,97,1,1,46,2.11
"Wat","Watford",46,33,91,2,2,46,1.98
"Bre","Brentford",46,37,87,3,3,46,1.89
"Swa","Swansea City",46,17,80,4,4,46,1.74
"Bar","Barnsley",46,8,78,5,5,46,1.7
"Bou","Bournemouth",46,27,77,6,6,46,1.67
"Rea","Reading",46,8,70,7,7,46,1.52
"Car","Cardiff City",46,17,68,8,8,46,1.48
"QPR","QPR",46,2,68,9,9,46,1.48
"Mid","Middlesbrough",46,2,64,10,10,46,1.39
"Mil","Millwall",46,-5,62,11,11,46,1.35
"Lut","Luton Town",46,-11,62,12,12,46,1.35
"PNE","Preston NE",46,-7,61,13,13,46,1.33
"Sto","Stoke City",46,-2,60,14,14,46,1.3
"Bla","Blackburn Rovers",46,11,57,15,15,46,1.24
"Cov","Coventry City",46,-12,55,16,16,46,1.2
"Not","Nottingham Forest",46,-8,52,17,17,46,1.13
"Bir","Birmingham City",46,-24,52,18,18,46,1.13
"Bri","Bristol City",46,-22,51,19,19,46,1.11
"Hud","Huddersfield Town",46,-21,49,20,20,46,1.07
"Der","Derby County",46,-22,44,21,21,46,0.96
"Wyc","Wycombe Wanderers",46,-30,43,22,22,46,0.93
"Rot","Rotherham United",46,-16,42,23,23,46,0.91
"ShW","Sheffield Wednesday",46,-21,41,24,24,46,0.89
