"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name"
59,"Blackburn Rovers FC","Blackburn Rov","BBR",NA,NA
63,"Fulham FC","Fulham","FUL",NA,NA
69,"Queens Park Rangers FC","QPR","QPR",NA,NA
70,"Stoke City FC","Stoke","STO",NA,NA
72,"Swansea City AFC","Swansea","SWA",NA,NA
74,"West Bromwich Albion FC","West Brom","WBA",NA,NA
75,"Wigan Athletic FC","Wigan Athletic","WIG",NA,NA
322,"Hull City AFC","Hull City","HUL",NA,NA
332,"Birmingham City FC","Birmingham","BIR",NA,NA
341,"Leeds United AFC","Leeds United","LEE",NA,NA
342,"Derby County FC","Derby County","DER",NA,NA
343,"Middlesbrough FC","Middlesbrough","MID",NA,NA
345,"Sheffield Wednesday FC","Sheffield Wed","SWE",NA,NA
348,"Charlton Athletic FC","Charlton Athl","CHA",NA,NA
351,"Nottingham Forest FC","Nottingham For","NOT",NA,NA
355,"Reading FC","Reading","REA",NA,NA
357,"Barnsley FC","Barnsley","BAR",NA,NA
384,"Millwall FC","Millwall","MIL",NA,NA
387,"Bristol City FC","Bristol City","BRI",NA,NA
389,"Luton Town FC","Luton Town","LUT",NA,NA
394,"Huddersfield Town AFC","Huddersfield","HUD",NA,NA
402,"Brentford FC","Brentford","BRE",NA,NA
715,"Cardiff City FC","Cardiff","CAR",NA,NA
1081,"Preston North End FC","Preston NE","PNE",NA,NA
