fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
59,Blackburn Rovers FC,Blackburn Rovers,Bla,Blackburn Rovers,Blackburn
63,Fulham FC,Fulham,Ful,Fulham,Fulham
69,Queens Park Rangers FC,QPR,QPR,Queens Park Rangers,QPR
70,Stoke City FC,Stoke City,Sto,Stoke City,Stoke
72,Swansea City AFC,Swansea City,Swa,Swansea City,Swansea
74,West Bromwich Albion FC,West Brom,WBA,West Bromwich Albion,West Brom
75,Wigan Athletic FC,Wigan Athletic,Wig,Wigan Athletic,Wigan
322,Hull City AFC,Hull City,Hul,Hull City,Hull
332,Birmingham City FC,Birmingham City,Bir,Birmingham City,Birmingham
341,Leeds United AFC,Leeds United,Lee,Leeds United,Leeds
342,Derby County FC,Derby County,Der,Derby County,Derby
343,Middlesbrough FC,Middlesbrough,Mid,Middlesbrough,Middlesbrough
345,Sheffield Wednesday FC,Sheffield Wednesday,ShW,Sheffield Wednesday,Sheff Wed
348,Charlton Athletic FC,Charlton Athletic,Cha,Charlton Athletic,Charlton
351,Nottingham Forest FC,Nottingham Forest,Not,Nottingham Forest,Nottm Forest
355,Reading FC,Reading,Rea,Reading,Reading
357,Barnsley FC,Barnsley,Bar,Barnsley,Barnsley
384,Millwall FC,Millwall,Mil,Millwall,Millwall
387,Bristol City FC,Bristol City,Bri,Bristol City,Bristol City
389,Luton Town FC,Luton Town,Lut,Luton Town,Luton
394,Huddersfield Town AFC,Huddersfield Town,Hud,Huddersfield Town,Huddersfield
402,Brentford FC,Brentford,Bre,Brentford,Brentford
715,Cardiff City FC,Cardiff City,Car,Cardiff City,Cardiff
1081,Preston North End FC,Preston NE,PNE,Preston North End,Preston
