"team","teamId","playedGames","goalDifference","points","rank"
"ADO Den Haag",680,0,0,0,1
"AZ",682,0,0,0,2
"AFC Ajax",678,0,0,0,3
"FC Emmen",1914,0,0,0,4
"FC Groningen",677,0,0,0,5
"FC Twente '65",666,0,0,0,6
"FC Utrecht",676,0,0,0,7
"Feyenoord Rotterdam",675,0,0,0,8
"Fortuna Sittard",1920,0,0,0,9
"Heracles Almelo",671,0,0,0,10
"PEC Zwolle",684,0,0,0,11
"PSV",674,0,0,0,12
"RKC Waalwijk",683,0,0,0,13
"Sparta Rotterdam",6806,0,0,0,14
"VVV Venlo",668,0,0,0,15
"SBV Vitesse",679,0,0,0,16
"Willem II Tilburg",672,0,0,0,17
"SC Heerenveen",673,0,0,0,18
