"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Ajx","Ajax",25,45,56,1,1,25.2,2.23
"AZA","AZ Alkmaar",25,37,56,2,2,25.1,2.23
"Fey","Feyenoord",25,15,50,3,3,25,2
"PSV","PSV Eindhoven",26,26,49,4,4,25.6,1.92
"WII","Willem II",26,3,44,5,5,25.3,1.74
"Utr","Utrecht",25,16,41,6,6,25.8,1.59
"Vit","Vitesse",26,10,41,7,7,27.2,1.51
"Gro","Groningen",26,1,35,9,8,25.7,1.36
"Her","Heracles Almelo",26,6,36,8,9,26.6,1.35
"Hee","Heerenveen",26,0,33,10,10,26.2,1.26
"Spa","Sparta Rotterdam",26,-4,33,11,11,26.6,1.24
"Emm","Emmen",26,-13,32,12,12,26.3,1.21
"Zwo","PEC Zwolle",26,-18,26,15,13,24.4,1.06
"VVV","VVV Venlo",26,-27,28,13,14,26.7,1.05
"Twe","Twente",26,-12,27,14,15,25.7,1.05
"Sit","Fortuna Sittard",26,-23,26,16,16,26.4,0.98
"ADO","ADO Den Haag",26,-29,19,17,17,25.2,0.75
"RKC","RKC Waalwijk",26,-33,15,18,18,26.7,0.56
