league_name,BBC_name,fdo_id,alt_3_active,n_teams,n_matchdays,halfway,draw_par,home_par,draw_se,home_se,draw_home_cor,prior_weight
england-premier-league,premier-league,PL,TRUE,20,38,2019-12-27,-0.038,0.66,NA,NA,NA,1
england-championship,championship,ELC,FALSE,24,46,2019-12-24,-0.04,0.7,NA,NA,NA,1
germany-bundesliga-1,german-bundesliga,BL1,FALSE,18,34,2019-12-24,NA,NA,NA,NA,NA,1
italy-serie-a,italian-serie-a,SA,FALSE,20,38,2020-01-13,NA,NA,NA,NA,NA,1
spain-la-liga-primera,spanish-la-liga,PD,FALSE,20,38,2020-01-06,NA,NA,NA,NA,NA,1
france-ligue-1,french-ligue-one,FL1,FALSE,20,38,2019-12-24,NA,NA,NA,NA,NA,1
netherlands-eredivisie,dutch-eredivisie,DED,FALSE,18,34,2019-12-16,NA,NA,NA,NA,NA,1
portugal-primeira-liga,portuguese-primeira-liga,PPL,FALSE,20,38,2020-01-20,NA,NA,NA,NA,NA,1
