league_name,BBC_name,fdo_id,alt_3_active,n_teams,n_matchdays
england-premier-league,premier-league,PL,FALSE,20,38
england-championship,championship,ELC,TRUE,24,46
germany-bundesliga-1,german-bundesliga,BL1,FALSE,18,34
italy-serie-a,italian-serie-a,SA,FALSE,20,38
spain-la-liga-primera,spanish-la-liga,PD,FALSE,20,38
france-ligue-1,french-ligue-one,FL1,FALSE,20,38
netherlands-eredivisie,dutch-eredivisie,DED,FALSE,18,34
portugal-primeira-liga,portuguese-primeira-liga,PPL,FALSE,18,34
