"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name","deduction"
98,"AC Milan","Milan","MIL",NA,NA,0
99,"ACF Fiorentina","Fiorentina","FIO",NA,NA,0
100,"AS Roma","Roma","ROM",NA,NA,0
102,"Atalanta BC","Atalanta","ATA",NA,NA,0
103,"Bologna FC 1909","Bologna","BOL",NA,NA,0
104,"Cagliari Calcio","Cagliari","CAG",NA,NA,0
107,"Genoa CFC","Genoa","GEN",NA,NA,0
108,"FC Internazionale Milano","Inter","INT",NA,NA,0
109,"Juventus FC","Juventus","JUV",NA,NA,0
110,"SS Lazio","Lazio","LAZ",NA,NA,0
113,"SSC Napoli","Napoli","NAP",NA,NA,0
115,"Udinese Calcio","Udinese","UDI",NA,NA,0
445,"Empoli FC","Empoli","EMP",NA,NA,0
450,"Hellas Verona FC","Verona","VER",NA,NA,0
454,"Venezia FC","Venezia FC","VEN",NA,NA,0
455,"US Salernitana 1919","Salernitana","SAL",NA,NA,0
471,"US Sassuolo Calcio","Sassuolo","SAS",NA,NA,0
488,"Spezia Calcio","Spezia Calcio","SPE",NA,NA,0
584,"UC Sampdoria","Sampdoria","SAM",NA,NA,0
586,"Torino FC","Torino","TOR",NA,NA,0
