"","HA","vs","played","sched","cumulative"
"1","A","Tor","yes","0.03","0.03"
"2","H","Sam","yes","-0.47","-0.44"
"3","A","Rom","yes","0.42","-0.01"
"4","H","SPA","yes","-0.74","-0.75"
"5","A","Par","yes","0.17","-0.58"
"6","H","Ata","yes","0.31","-0.27"
"7","H","Int","yes","0.35","0.08"
"8","A","Ver","yes","0.23","0.31"
"9","H","Fir","yes","-0.40","-0.09"
"10","A","Lec","yes","-0.10","-0.20"
"11","H","Bol","yes","-0.28","-0.48"
"12","H","Laz","yes","0.38","-0.10"
"13","A","Juv","yes","0.81","0.71"
"14","H","Cag","yes","-0.31","0.40"
"15","A","Mil","yes","0.38","0.78"
"16","A","Bre","yes","-0.33","0.45"
"17","H","Nap","yes","-0.06","0.40"
"18","A","Gen","yes","-0.14","0.26"
"19","A","Udi","yes","0.03","0.28"
"20","H","Tor","yes","-0.43","-0.14"
"21","A","Sam","yes","-0.02","-0.16"
"22","H","Rom","yes","-0.03","-0.19"
"23","A","SPA","yes","-0.39","-0.59"
"24","H","Par","yes","-0.31","-0.89"
"25","H","Bre","yes","-0.70","-1.59"
"26","A","Ata","yes","0.66","-0.93"
"27","A","Int","yes","0.69","-0.24"
"28","H","Ver","yes","-0.24","-0.48"
"29","A","Fir","yes","0.06","-0.42"
"30","H","Lec","yes","-0.54","-0.96"
"31","A","Bol","yes","0.19","-0.77"
"32","A","Laz","no","0.71","-0.06"
"33","H","Juv","no","0.57","0.51"
"34","A","Cag","no","0.16","0.67"
"35","H","Mil","no","-0.08","0.59"
"36","A","Nap","no","0.40","1.00"
"37","H","Gen","no","-0.56","0.43"
"38","H","Udi","no","-0.43","0.00"
