"","HA","vs","played","sched","cumulative"
"1","H","Laz","yes","0.52","0.52"
"2","A","Sas","yes","0.23","0.75"
"3","A","Nap","yes","0.27","1.02"
"4","H","Tor","yes","-0.52","0.50"
"5","A","Fir","yes","0.11","0.61"
"6","H","Int","yes","0.53","1.14"
"7","A","Ver","yes","0.42","1.56"
"8","H","Rom","yes","0.03","1.59"
"9","A","Bol","yes","0.36","1.95"
"10","H","Lec","yes","-0.68","1.27"
"11","A","SPA","yes","-0.39","0.88"
"12","H","Ata","yes","0.09","0.97"
"13","H","Udi","yes","-0.58","0.39"
"14","A","Cag","yes","0.35","0.74"
"15","H","Par","yes","-0.23","0.52"
"16","A","Gen","yes","-0.19","0.33"
"17","H","Juv","yes","0.60","0.92"
"18","A","Mil","yes","0.36","1.29"
"19","H","Bre","yes","-0.98","0.31"
"20","A","Laz","yes","0.81","1.12"
"21","H","Sas","yes","-0.43","0.69"
"22","H","Nap","yes","-0.38","0.31"
"23","A","Tor","yes","0.14","0.46"
"24","H","Fir","no","-0.56","-0.10"
"25","A","Int","no","0.81","0.71"
"26","H","Ver","no","-0.18","0.53"
"27","A","Rom","no","0.55","1.08"
"28","H","Bol","no","-0.25","0.83"
"29","A","Lec","no","-0.00","0.82"
"30","H","SPA","no","-1.01","-0.19"
"31","A","Ata","no","0.59","0.40"
"32","A","Udi","no","0.10","0.50"
"33","H","Cag","no","-0.27","0.23"
"34","A","Par","no","0.38","0.61"
"35","H","Gen","no","-0.85","-0.24"
"36","A","Juv","no","0.84","0.60"
"37","H","Mil","no","-0.25","0.35"
"38","A","Bre","no","-0.35","0.00"
