"","HA","vs","played","sched","cumulative"
"1","A","Udi","yes","0.02","0.02"
"2","H","Bre","yes","-0.49","-0.47"
"3","A","Ver","yes","0.14","-0.33"
"4","H","Int","yes","0.25","-0.08"
"5","A","Tor","yes","-0.03","-0.11"
"6","H","Fir","yes","-0.25","-0.36"
"7","A","Gen","yes","-0.07","-0.43"
"8","H","Lec","yes","-0.38","-0.81"
"9","A","Rom","yes","0.42","-0.39"
"10","H","SPA","yes","-0.53","-0.91"
"11","H","Laz","yes","0.24","-0.67"
"12","A","Juv","yes","0.68","0.01"
"13","H","Nap","yes","-0.08","-0.08"
"14","A","Par","yes","0.09","0.01"
"15","A","Bol","yes","0.10","0.12"
"16","H","Sas","yes","-0.19","-0.07"
"17","A","Ata","yes","0.60","0.53"
"18","H","Sam","yes","-0.31","0.22"
"19","A","Cag","yes","0.06","0.29"
"20","H","Udi","yes","-0.31","-0.02"
"21","A","Bre","yes","-0.27","-0.30"
"22","H","Ver","yes","-0.22","-0.51"
"23","A","Int","yes","0.61","0.09"
"24","H","Tor","yes","-0.34","-0.25"
"25","A","Fir","yes","0.10","-0.15"
"26","H","Gen","yes","-0.37","-0.52"
"27","A","Lec","yes","-0.09","-0.61"
"28","H","Rom","yes","0.03","-0.58"
"29","A","SPA","yes","-0.34","-0.92"
"30","A","Laz","yes","0.60","-0.32"
"31","H","Juv","yes","0.35","0.03"
"32","A","Nap","yes","0.30","0.34"
"33","H","Par","yes","-0.26","0.08"
"34","H","Bol","yes","-0.25","-0.17"
"35","A","Sas","yes","0.19","0.02"
"36","H","Ata","yes","0.24","0.26"
"37","A","Sam","yes","0.01","0.28"
"38","H","Cag","no","-0.28","-0.00"
