"","HA","vs","played","sched","cumulative"
"1","H","Juv","yes","0.59","0.59"
"2","A","Udi","yes","-0.05","0.55"
"3","H","Cag","yes","-0.28","0.27"
"4","A","Laz","yes","0.78","1.05"
"5","H","Sas","yes","-0.32","0.72"
"6","H","Tor","yes","-0.38","0.34"
"7","A","SPA","yes","-0.31","0.03"
"8","H","Gen","yes","-0.48","-0.44"
"9","A","Int","yes","0.70","0.25"
"10","H","Ver","yes","-0.22","0.04"
"11","A","Fir","yes","0.05","0.09"
"12","H","Rom","yes","0.05","0.13"
"13","A","Bol","yes","0.13","0.26"
"14","H","Mil","yes","-0.21","0.06"
"15","A","Sam","yes","-0.04","0.02"
"16","A","Nap","yes","0.32","0.34"
"17","H","Bre","yes","-0.65","-0.31"
"18","A","Ata","yes","0.55","0.25"
"19","H","Lec","yes","-0.49","-0.24"
"20","A","Juv","yes","0.82","0.57"
"21","H","Udi","yes","-0.45","0.13"
"22","A","Cag","yes","0.16","0.28"
"23","H","Laz","yes","0.52","0.80"
"24","A","Sas","yes","0.11","0.91"
"25","H","SPA","yes","-0.62","0.29"
"26","A","Tor","yes","0.03","0.32"
"27","A","Gen","yes","-0.09","0.23"
"28","H","Int","no","0.37","0.60"
"29","A","Ver","no","0.23","0.83"
"30","H","Fir","no","-0.37","0.46"
"31","A","Rom","no","0.47","0.92"
"32","H","Bol","no","-0.30","0.62"
"33","A","Mil","no","0.23","0.86"
"34","H","Sam","no","-0.44","0.42"
"35","H","Nap","no","-0.12","0.30"
"36","A","Bre","no","-0.35","-0.05"
"37","H","Ata","no","0.16","0.11"
"38","A","Lec","no","-0.11","0.00"
