"","HA","vs","played","sched","cumulative"
"1","H","Nap","yes","-0.09","-0.09"
"2","A","Gen","yes","-0.10","-0.19"
"3","H","Juv","yes","0.67","0.48"
"4","A","Ata","yes","0.66","1.14"
"5","H","Sam","yes","-0.62","0.52"
"6","A","Mil","yes","0.34","0.86"
"7","H","Udi","yes","-0.59","0.27"
"8","A","Bre","yes","-0.44","-0.17"
"9","H","Laz","yes","0.56","0.38"
"10","A","Sas","yes","0.13","0.52"
"11","H","Par","yes","-0.20","0.31"
"12","A","Cag","yes","0.24","0.55"
"13","A","Ver","yes","0.28","0.83"
"14","H","Lec","yes","-0.64","0.19"
"15","A","Tor","yes","0.04","0.23"
"16","H","Int","yes","0.48","0.71"
"17","H","Rom","yes","0.08","0.78"
"18","A","Bol","yes","0.23","1.01"
"19","H","SPA","yes","-0.86","0.14"
"20","A","Nap","yes","0.40","0.55"
"21","H","Gen","yes","-0.62","-0.08"
"22","A","Juv","yes","0.85","0.77"
"23","H","Ata","yes","0.31","1.08"
"24","A","Sam","yes","-0.09","0.99"
"25","H","Mil","yes","-0.17","0.82"
"26","A","Udi","yes","-0.06","0.76"
"27","H","Bre","yes","-0.90","-0.14"
"28","A","Laz","yes","0.80","0.66"
"29","H","Sas","no","-0.40","0.25"
"30","A","Par","no","0.31","0.56"
"31","H","Cag","no","-0.29","0.28"
"32","H","Ver","no","-0.24","0.03"
"33","A","Lec","no","-0.11","-0.08"
"34","H","Tor","no","-0.50","-0.58"
"35","A","Int","no","0.76","0.18"
"36","A","Rom","no","0.52","0.70"
"37","H","Bol","no","-0.30","0.39"
"38","A","SPA","no","-0.39","0.00"
