"","HA","vs","played","sched","cumulative"
"1","H","Ata","yes","0.26","0.26"
"2","A","Bol","yes","0.24","0.50"
"3","H","Laz","yes","0.64","1.15"
"4","A","Sas","yes","0.15","1.29"
"5","H","Lec","yes","-0.78","0.51"
"6","A","Juv","yes","0.85","1.37"
"7","H","Par","yes","-0.21","1.15"
"8","A","Cag","yes","0.24","1.39"
"9","H","Nap","yes","-0.17","1.23"
"10","A","Mil","yes","0.30","1.52"
"11","H","Sam","yes","-0.70","0.82"
"12","A","Udi","yes","0.02","0.84"
"13","H","Gen","yes","-0.74","0.10"
"14","A","Int","yes","0.78","0.88"
"15","H","Bre","yes","-1.30","-0.42"
"16","A","Rom","yes","0.58","0.16"
"17","A","Tor","yes","0.05","0.21"
"18","H","Ver","yes","-0.23","-0.03"
"19","A","Fir","yes","0.15","0.13"
"20","A","Ata","yes","0.64","0.77"
"21","H","Bol","yes","-0.38","0.38"
"22","A","Laz","yes","0.83","1.22"
"23","H","Sas","yes","-0.51","0.71"
"24","A","Lec","yes","-0.07","0.64"
"25","H","Juv","yes","0.69","1.33"
"26","A","Par","yes","0.35","1.69"
"27","H","Cag","no","-0.39","1.30"
"28","H","Mil","no","-0.30","1.00"
"29","A","Nap","no","0.39","1.38"
"30","A","Sam","no","-0.00","1.38"
"31","H","Udi","no","-0.68","0.70"
"32","A","Gen","no","-0.03","0.67"
"33","H","Int","no","0.54","1.21"
"34","A","Bre","no","-0.56","0.65"
"35","H","Rom","no","0.15","0.80"
"36","H","Tor","no","-0.64","0.16"
"37","A","Ver","no","0.34","0.50"
"38","H","Fir","no","-0.50","-0.00"
