"","HA","vs","played","sched","cumulative"
"1","H","Bre","yes","-0.88","-0.88"
"2","H","Int","yes","0.37","-0.51"
"3","A","Par","yes","0.17","-0.34"
"4","H","Gen","yes","-0.58","-0.92"
"5","A","Nap","yes","0.43","-0.49"
"6","H","Ver","yes","-0.30","-0.79"
"7","A","Rom","yes","0.52","-0.27"
"8","H","SPA","yes","-0.98","-1.25"
"9","A","Tor","yes","0.02","-1.23"
"10","H","Bol","yes","-0.32","-1.55"
"11","A","Ata","yes","0.70","-0.84"
"12","H","Fir","yes","-0.38","-1.22"
"13","A","Lec","yes","-0.16","-1.38"
"14","H","Sam","yes","-0.45","-1.83"
"15","A","Sas","yes","0.27","-1.56"
"16","H","Laz","yes","0.37","-1.19"
"17","A","Udi","yes","0.12","-1.08"
"18","A","Juv","yes","0.79","-0.29"
"19","H","Mil","yes","0.03","-0.26"
"20","A","Bre","yes","-0.42","-0.68"
"21","A","Int","yes","0.70","0.01"
"22","H","Par","yes","-0.36","-0.34"
"23","A","Gen","yes","-0.05","-0.40"
"24","H","Nap","yes","-0.04","-0.44"
"25","H","Rom","yes","0.08","-0.35"
"26","A","Ver","yes","0.22","-0.13"
"27","A","SPA","yes","-0.56","-0.69"
"28","H","Tor","yes","-0.51","-1.20"
"29","A","Bol","yes","0.21","-0.99"
"30","H","Ata","yes","0.38","-0.61"
"31","A","Fir","yes","0.15","-0.46"
"32","H","Lec","yes","-0.68","-1.14"
"33","A","Sam","yes","0.09","-1.05"
"34","H","Sas","yes","-0.25","-1.30"
"35","A","Laz","yes","0.70","-0.60"
"36","H","Udi","yes","-0.42","-1.02"
"37","H","Juv","no","0.54","-0.48"
"38","A","Mil","no","0.48","0.00"
