"","HA","vs","played","sched","cumulative"
"1","A","Rom","yes","0.52","0.52"
"2","H","Fir","yes","-0.41","0.11"
"3","H","Ata","yes","0.41","0.52"
"4","A","Cag","yes","0.15","0.67"
"5","H","Bol","yes","-0.37","0.30"
"6","A","Laz","yes","0.70","0.99"
"7","H","Mil","yes","0.01","1.00"
"8","A","Par","yes","0.14","1.14"
"9","H","Bre","yes","-0.98","0.15"
"10","A","Juv","yes","0.82","0.97"
"11","H","Udi","yes","-0.60","0.37"
"12","A","Nap","yes","0.47","0.84"
"13","A","SPA","yes","-0.62","0.23"
"14","H","Tor","yes","-0.54","-0.31"
"15","A","Lec","yes","-0.18","-0.49"
"16","H","Sam","yes","-0.42","-0.91"
"17","A","Int","yes","0.73","-0.19"
"18","H","Sas","yes","-0.19","-0.37"
"19","A","Ver","yes","0.28","-0.10"
"20","H","Rom","yes","0.07","-0.03"
"21","A","Fir","yes","0.17","0.15"
"22","A","Ata","yes","0.72","0.86"
"23","H","Cag","yes","-0.44","0.42"
"24","A","Bol","yes","0.21","0.63"
"25","H","Laz","yes","0.37","1.00"
"26","A","Mil","yes","0.48","1.48"
"27","H","Par","yes","-0.45","1.03"
"28","A","Bre","yes","-0.40","0.63"
"29","H","Juv","yes","0.61","1.24"
"30","A","Udi","yes","0.00","1.24"
"31","H","Nap","yes","-0.01","1.23"
"32","H","SPA","yes","-1.16","0.07"
"33","A","Tor","yes","0.06","0.13"
"34","H","Lec","yes","-0.78","-0.65"
"35","A","Sam","no","0.16","-0.49"
"36","H","Int","no","0.42","-0.07"
"37","A","Sas","no","0.35","0.28"
"38","H","Ver","no","-0.28","0.00"
