"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Lei","Leicester",46,48,97,1,1,46,2.11
"Ips","Ipswich",46,35,96,2,2,46,2.09
"Lee","Leeds",46,38,90,3,3,46,1.96
"Sot","Southampton",46,24,87,4,4,46,1.89
"WBA","West Brom",46,23,75,5,5,46,1.63
"Nor","Norwich",46,15,73,6,6,46,1.59
"Hul","Hull",46,8,70,7,7,46,1.52
"Mid","Middlesbrough",46,9,69,8,8,46,1.5
"Cov","Coventry",46,11,64,9,9,46,1.39
"PNE","Preston",46,-11,63,10,10,46,1.37
"BrC","Bristol City",46,2,62,11,11,46,1.35
"Cdf","Cardiff",46,-17,62,12,12,46,1.35
"Mil","Millwall",46,-10,59,13,13,46,1.28
"Swa","Swansea",46,-6,57,14,14,46,1.24
"Wat","Watford",46,0,56,15,15,46,1.22
"Sun","Sunderland",46,-2,56,16,16,46,1.22
"Sto","Stoke",46,-11,56,17,17,46,1.22
"QPR","QPR",46,-11,56,18,18,46,1.22
"Bbn","Blackburn",46,-14,53,19,19,46,1.15
"ShW","Sheffield Wed",46,-24,53,20,20,46,1.15
"Ply","Plymouth",46,-11,51,21,21,46,1.11
"Bir","Birmingham",46,-15,50,22,22,46,1.09
"Hud","Huddersfield",46,-29,45,23,23,46,0.98
"Rot","Rotherham",46,-52,27,24,24,46,0.59
